"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494","nabut_1_D2_mix_Slot1-1_1_3691","nabut_1_D3_mix_Slot1-1_1_3720","nabut_1_E4_ctrl_Slot1-1_1_3707","nabut_1_F3_mix_Slot1-1_1_3722","nabut_1_F4_ctrl_Slot1-1_1_3708","nabut_1_G2_mix_Slot1-1_1_3694","nabut_1_G4_ctrl_Slot1-1_1_3709","nabut_1_H4_ctrl_Slot1-1_1_3710","nabut_1_I4_ctrl_Slot1-1_1_3711","nabut_1_J2_mix_Slot1-1_1_3697","nabut_1_M2_mix_Slot1-1_1_3700","nabut_1_N2_mix_Slot1-1_1_3701","nabut_1_O2_mix_Slot1-1_1_3702","nabut_4_E3_mix_Slot1-1_1_3682","nabut_4_F2_mix_Slot1-1_1_3642","nabut_4_F3_mix_Slot1-1_1_3683","nabut_4_G3_mix_Slot1-1_1_3684","nabut_4_H2_mix_Slot1-1_1_3644","nabut_4_H3_mix_Slot1-1_1_3685","nabut_4_I3_mix_Slot1-1_1_3686","nabut_4_K2_mix_Slot1-1_1_3647"
"1_D3_Slot1-1_1_1321",1,0.97521580504577,0.973137326962191,0.963161584330714,0.961681906210592,0.965024616886536,0.976416213610959,0.957724630117463,0.966468763113578,0.941429357854777,0.978836493024838,0.979150473707205,0.951317837858698,0.986959250782255,0.973988421120905,0.929229108125579,0.95340178336339,0.959871374533704,0.97670746266097,0.98751300660294,0.896720942901953,0.985453306633641,0.888434106635241,0.87504815754522,0.954449086991882,0.929022764789645,0.96404619336533,0.901508489109387,0.965931607398266,0.969947235021142,0.953174356652627,0.881393727010195,0.900921687943368,0.883637217970467,0.895984860266801,0.964216850728624,0.915640124069126,0.93937027791631,0.964995094804778,0.895726505635698,0.936862232524841,0.968078799305751,0.934492407825178
"1_D4_Slot1-1_1_1300",0.97521580504577,1,0.977411871861177,0.981932632791911,0.972871294855911,0.976105865144721,0.952974296508848,0.980861457122976,0.972992590715398,0.958956606196038,0.977492327210339,0.977464475893068,0.95391658621587,0.961295336013463,0.97770256953092,0.938283308708273,0.966965074251388,0.978084279070378,0.959573661316727,0.981251984069175,0.918826539624974,0.967790893629723,0.859870640215978,0.88743354934345,0.951093136082888,0.935631115091585,0.945760725402567,0.878371999239731,0.958791064168837,0.952458193103611,0.926556838176921,0.864107897108881,0.878585164799083,0.857264133374899,0.873170997542224,0.951226659545324,0.889508446389293,0.941894499772906,0.951692764933909,0.886298030868356,0.928846945467418,0.947000020354044,0.934811687272022
"1_E3_Slot1-1_1_1322",0.973137326962191,0.977411871861177,1,0.982859835603778,0.977717679911644,0.982080486639991,0.97449492289002,0.984248716870306,0.986258373568413,0.988058403507687,0.977623046006966,0.98051293560624,0.979812471621575,0.96681140313527,0.982720799043715,0.958043549638665,0.9742490783927,0.986933629763682,0.970776171488046,0.98201885411717,0.945565471421291,0.978747986692632,0.877468387097696,0.923208539704116,0.963031043038898,0.946391127071077,0.969324771737097,0.900376835901673,0.976020511940647,0.970244680040361,0.951383802783876,0.889899289828427,0.898608453320993,0.881128450542494,0.900508775502495,0.953109983691094,0.906247933514249,0.959692741785411,0.970585104250274,0.914501193326511,0.95365852014627,0.947111728795156,0.966164506469997
"1_E4_Slot1-1_1_1301",0.963161584330714,0.981932632791911,0.982859835603778,1,0.987939266896813,0.975392252600898,0.942583134752258,0.99220355189363,0.976522268186141,0.977657486934954,0.978179476366364,0.967222089945841,0.980109267570196,0.961460391617806,0.971936546189231,0.95853721622701,0.961693993391308,0.979951448752977,0.965793560558051,0.971554610623119,0.936114915166339,0.96032366416432,0.869921653082388,0.927228848381537,0.947562519407413,0.945522345118912,0.955705545296262,0.888908195817344,0.965051961170901,0.955831996872047,0.937635972967574,0.87824999095448,0.885463411493955,0.878208791028956,0.888630388006396,0.944156279877543,0.900977854354611,0.950745277184995,0.956105752697773,0.911874679771969,0.931861335338646,0.939521370542097,0.944518367862063
"1_F3_Slot1-1_1_1323",0.961681906210592,0.972871294855911,0.977717679911644,0.987939266896813,1,0.962195161607316,0.934439727515482,0.990705180582233,0.964690158341341,0.977077353430133,0.97266665156741,0.969827028342314,0.981832431682844,0.963403402670265,0.970574220913558,0.938048168920015,0.972335780857208,0.985992983884598,0.953649208371839,0.96224159274302,0.936224901720837,0.953138458446402,0.884239257502863,0.940877642994079,0.94675010233299,0.951721637846545,0.964058235652638,0.897128490712803,0.972014638184797,0.963175094104966,0.950650475253345,0.892387049840208,0.897649842184141,0.896274762074421,0.902454540671706,0.947442906276724,0.907748390649893,0.955166993151437,0.964514412987267,0.929124452453433,0.943129546066573,0.932561703761932,0.957283864093113
"1_F4_Slot1-1_1_1302",0.965024616886536,0.976105865144721,0.982080486639991,0.975392252600898,0.962195161607316,1,0.969717391453043,0.984499773389207,0.988276727822215,0.970249545194229,0.988608970043601,0.977285875850758,0.966584584965445,0.966195200558658,0.981745381538822,0.948408190363263,0.977651098113217,0.974590727442052,0.964598708137783,0.988447933410712,0.935309970203968,0.9839129943179,0.916446824142955,0.898351463599854,0.96676138619424,0.949042583354785,0.974980890796331,0.935206687295579,0.98241195556662,0.97119551355351,0.962505640665072,0.921243107028013,0.932128196648132,0.90987264818505,0.927233008659787,0.971564273841235,0.943099417052583,0.970487477314624,0.971196786318051,0.936852723607799,0.959636927902926,0.968401078224626,0.964233400101816
"1_G3_Slot1-1_1_1325",0.976416213610959,0.952974296508848,0.97449492289002,0.942583134752258,0.934439727515482,0.969717391453043,1,0.94713102861047,0.983501171470763,0.955949740259115,0.97085040026971,0.982062256792364,0.957667445256759,0.967538167280482,0.975465957099811,0.9475746607266,0.945623114239007,0.948064830087772,0.974965931709053,0.981797790174571,0.908167339278526,0.986944942973013,0.902709658935335,0.878482896426305,0.962006391400609,0.934265295813811,0.971249114435315,0.918475739361791,0.973492025257449,0.978880684848308,0.961572615697614,0.902029756051556,0.916097013711223,0.894279256047389,0.911872357674683,0.956200354903125,0.925572448168431,0.942488624484161,0.968044717350239,0.912782534872671,0.947976239404144,0.974360266335415,0.954826658363791
"1_G4_Slot1-1_1_1305",0.957724630117463,0.980861457122976,0.984248716870306,0.99220355189363,0.990705180582233,0.984499773389207,0.94713102861047,1,0.980012155295772,0.984864720998854,0.981495281781201,0.973693690364251,0.981277981712378,0.960236840509407,0.976587561143397,0.949068721281481,0.976974867894219,0.988389832713792,0.961404851514735,0.975028821332907,0.940977317757676,0.962737796258918,0.890889465718981,0.934127000125671,0.956746113462076,0.955711231089246,0.967065122173218,0.908852329303376,0.979894191252759,0.967115940816396,0.951634149728113,0.902166815111848,0.906783612309021,0.896825917412217,0.907953889698791,0.952476728124567,0.918025989438705,0.960474341202037,0.96388040188427,0.933197520502865,0.946548903540641,0.945327490925375,0.962349716237357
"1_H2_Slot1-1_1_1341",0.966468763113578,0.972992590715398,0.986258373568413,0.976522268186141,0.964690158341341,0.988276727822215,0.983501171470763,0.980012155295772,1,0.982670539479519,0.986267626785203,0.985855634916212,0.984235991249645,0.967643026162545,0.98898666910384,0.974704797993171,0.967946789704761,0.969697111631371,0.970275320084131,0.982805416452032,0.947331870602554,0.982760172910397,0.916289706346649,0.912630184955909,0.965904864662752,0.9557843844523,0.978974688934288,0.932452802667483,0.983907128069894,0.978499405565436,0.967608693608369,0.921655831291312,0.931208391239574,0.915755672762278,0.929708664753727,0.965197759172623,0.938158393919218,0.969111112763913,0.977205793101713,0.942262454745486,0.962258982344449,0.971891466883736,0.97273991330429
"1_H3_Slot1-1_1_1326",0.941429357854777,0.958956606196038,0.988058403507687,0.977657486934954,0.977077353430133,0.970249545194229,0.955949740259115,0.984864720998854,0.982670539479519,1,0.963645631005796,0.973187001395145,0.990388437352887,0.939366001326197,0.971354383670457,0.960569241046086,0.964886981000651,0.984089815741489,0.955785091779963,0.960234869779717,0.950594886176758,0.955417649078895,0.874857240690384,0.94948618485128,0.955715129198184,0.95808515420829,0.966481533327716,0.891685572554402,0.975642807757411,0.968554767924932,0.949308835580387,0.892938610580183,0.892378508628809,0.883947123345737,0.897116280442074,0.933588029688977,0.899825023568908,0.955659486511412,0.964869470536204,0.929173805222757,0.947171375436384,0.93012383242816,0.972787974613856
