"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494","nabut_1_D2_mix_Slot1-1_1_3691","nabut_1_D3_mix_Slot1-1_1_3720","nabut_1_E4_ctrl_Slot1-1_1_3707","nabut_1_F3_mix_Slot1-1_1_3722","nabut_1_F4_ctrl_Slot1-1_1_3708","nabut_1_G2_mix_Slot1-1_1_3694","nabut_1_G4_ctrl_Slot1-1_1_3709","nabut_1_H4_ctrl_Slot1-1_1_3710","nabut_1_I4_ctrl_Slot1-1_1_3711","nabut_1_J2_mix_Slot1-1_1_3697","nabut_1_M2_mix_Slot1-1_1_3700","nabut_1_N2_mix_Slot1-1_1_3701","nabut_1_O2_mix_Slot1-1_1_3702","nabut_4_E3_mix_Slot1-1_1_3682","nabut_4_F2_mix_Slot1-1_1_3642","nabut_4_F3_mix_Slot1-1_1_3683","nabut_4_G3_mix_Slot1-1_1_3684","nabut_4_H2_mix_Slot1-1_1_3644","nabut_4_H3_mix_Slot1-1_1_3685","nabut_4_I3_mix_Slot1-1_1_3686","nabut_4_K2_mix_Slot1-1_1_3647"
"1_D3_Slot1-1_1_1321",0,1.68085975510593e-26,7.62492881686779e-26,2.8218408130948e-23,5.88706518395431e-23,1.06987792661721e-23,6.61262633525128e-27,3.68059145551848e-22,4.86223756274404e-24,1.56405141730503e-19,8.62901589567023e-28,6.51329812026293e-28,5.08150856061568e-21,9.35281576663266e-32,4.16645587600861e-26,5.11562307630531e-18,2.25367434967018e-21,1.39319338660575e-22,5.23515063815042e-27,4.12061494257462e-32,5.03760876434629e-15,7.36356765234853e-31,2.02649144130879e-14,1.54611572185322e-13,1.47669607230542e-21,5.39672979617924e-18,1.79187296056948e-23,2.13401288853585e-15,6.5456054414339e-24,6.2546658971399e-25,2.46719264555128e-21,6.08294083050533e-14,2.37646946301296e-15,4.31851380581406e-14,5.7274082601109e-15,1.63942423360197e-23,1.27627528298264e-16,2.96141286246704e-19,1.08688831096834e-23,5.98992486171537e-15,6.25728960064459e-19,1.93583370946222e-24,1.23415011089117e-18
"1_D4_Slot1-1_1_1300",1.68085975510593e-26,0,2.93885232855819e-27,4.38933565182601e-29,9.17387122366867e-26,8.45447814594189e-27,2.67068976798854e-21,1.29913216026138e-28,8.43396895004858e-26,2.12100420255561e-22,2.74812357114072e-27,2.81278216679232e-27,1.83305465469562e-21,7.10013454163531e-23,2.30348423693832e-27,4.11122911224143e-19,3.67839899288463e-24,1.6646959352537e-27,1.59910776254818e-22,8.81045792292939e-29,6.31715950262147e-17,2.2901971703017e-24,1.18914104421456e-12,2.37959965925689e-14,5.53526699120118e-21,8.93361478964228e-19,3.77398934301717e-20,9.54641997397508e-14,2.286281501933e-22,3.2713896068402e-21,1.01036342387499e-17,6.89685390922312e-13,9.25131931907014e-14,1.64804579177555e-12,2.01786932170103e-13,5.26122226627323e-21,1.7025512536284e-14,1.34968704797903e-19,4.40169864286648e-21,2.85023799441498e-14,5.64769216223799e-18,2.45918946258777e-20,1.12790813224358e-18
"1_E3_Slot1-1_1_1322",7.62492881686779e-26,2.93885232855819e-27,0,1.62611623594418e-29,2.27430204997778e-27,3.75965324395418e-29,2.88010561690403e-26,3.30419588851859e-30,2.5136235273473e-31,1.772083617395e-32,2.46299647845914e-27,1.82499300533666e-28,3.54841525342141e-28,4.01213084872419e-24,1.8936338990498e-29,3.19624486389788e-22,3.44858843331551e-26,9.7060514724705e-32,3.70275503876711e-25,4.01096584985987e-29,4.03374644791409e-20,9.33395826576982e-28,1.08984840284878e-13,2.28810474059534e-17,3.01459058914708e-23,3.03901951225061e-20,9.18384281210879e-25,2.62462132568091e-15,9.04044318885325e-27,5.19095668821791e-25,4.95512415311532e-21,1.59730379991537e-14,3.6088929305108e-15,6.33151511696451e-14,2.56238370539163e-15,2.53101559992551e-21,8.72279802308817e-16,1.51351336455475e-22,4.18388543195023e-25,1.63006245708202e-16,2.03365119938661e-21,2.36486687453013e-20,5.75737799975787e-24
"1_E4_Slot1-1_1_1301",2.8218408130948e-23,4.38933565182601e-29,1.62611623594418e-29,0,2.13773753240071e-32,1.4697312474273e-26,1.0826333271103e-19,5.56927964116324e-36,6.07549311881164e-27,2.39267091636015e-27,1.53380688289018e-27,3.17817809118247e-24,2.68492099335541e-28,6.55580952078296e-23,1.73207491497564e-25,2.56355812634104e-22,5.85249702536068e-23,3.11567609911804e-28,7.05988247657392e-24,2.23189897982332e-25,7.77362908959103e-19,1.12769081751704e-22,3.16829302760523e-13,8.53509304721461e-18,2.01784613737705e-20,4.09335321770677e-20,8.77499639917491e-22,1.87697931222725e-14,1.05434721606525e-23,8.32023920058401e-22,4.98421966330081e-19,9.71928545013742e-14,3.25058909387221e-14,9.77832077456814e-14,1.96328012124014e-14,6.47499304325797e-20,2.35218527973557e-15,6.31394341207358e-21,7.41088452082602e-22,2.82959603778795e-16,2.54818241044876e-18,2.82804782789278e-19,5.74039141165062e-20
"1_F3_Slot1-1_1_1323",5.88706518395431e-23,9.17387122366867e-26,2.27430204997778e-27,2.13773753240071e-32,0,4.57682702913231e-23,1.25256286848347e-18,1.55150315527757e-34,1.27821724012937e-23,3.87461399817246e-27,1.05631855517854e-25,6.74048144572097e-25,4.87147318077205e-29,2.49517590951735e-23,4.21299846207209e-25,4.41013704614932e-19,1.3238438597371e-25,3.60703905877266e-31,2.04126336709988e-21,4.47300360098222e-23,7.5305370711172e-19,2.50259406892184e-21,3.93451055961366e-14,1.85998531576392e-19,2.68323976419096e-20,4.35307873242879e-21,1.78069049303257e-23,4.69014158669655e-15,1.64386714342025e-25,2.80257253170039e-23,6.54345946449317e-21,1.05807866557088e-14,4.27849364010107e-15,5.44574776106414e-15,1.79155468598549e-15,2.10491237173815e-20,6.50640933293769e-16,1.09882247175237e-21,1.40252199251399e-23,5.2564246123478e-18,9.07113158948678e-20,2.1069784266647e-18,4.46514000317875e-22
"1_F4_Slot1-1_1_1302",1.06987792661721e-23,8.45447814594189e-27,3.75965324395418e-29,1.4697312474273e-26,4.57682702913231e-23,0,7.21451103829418e-25,2.44019629006833e-30,1.25037977675878e-32,5.17507237512817e-25,7.2619109068087e-33,3.26290436251433e-27,4.55744373845366e-24,5.66045849233401e-24,5.3306183342926e-29,1.49260216798629e-20,2.40557113107856e-27,2.68358000703709e-26,1.34153814182296e-23,9.4686250927563e-33,9.79184940239094e-19,4.9185416904944e-30,1.07095661279575e-16,3.77800039293501e-15,4.12679353684545e-24,1.1864843619065e-20,2.00674738433367e-26,1.00840141961047e-18,2.64438163194998e-29,2.82384190675591e-25,3.92364679228985e-23,3.63453109192252e-17,2.37067816591285e-18,4.25931456504193e-16,8.52614047143567e-18,2.21772273778222e-25,9.16045459499331e-20,4.45198552083627e-25,2.82150323120583e-25,6.27469398867149e-19,1.55307815502515e-22,1.6008480573251e-24,1.62531164916855e-23
"1_G3_Slot1-1_1_1325",6.61262633525128e-27,2.67068976798854e-21,2.88010561690403e-26,1.0826333271103e-19,1.25256286848347e-18,7.21451103829418e-25,0,2.34892110399181e-20,7.92274617676049e-30,7.91690471430278e-22,3.5303561899151e-25,3.83239067793203e-29,3.77446414639203e-22,2.65102176643087e-24,1.38919318311133e-26,2.00920126644992e-20,3.95535522800578e-20,1.68800424183652e-20,2.02940500985723e-26,5.04951406258907e-29,5.9897106310853e-16,9.54854732925603e-32,1.7084874865897e-15,9.39180954560608e-14,5.02286252667209e-23,1.31539821150945e-18,2.72692219419143e-25,6.83522374930546e-17,5.94139119422431e-26,8.29618953714642e-28,6.20851095753591e-23,1.93836321881412e-15,1.15583645367729e-16,7.68278211352161e-15,2.8309544637801e-16,7.11910143205253e-22,1.28991341919574e-17,1.11607227929222e-19,1.97489986202068e-24,2.3430808497104e-16,1.74220861313782e-20,3.17945756518994e-26,1.2648531553679e-21
"1_G4_Slot1-1_1_1305",3.68059145551848e-22,1.29913216026138e-28,3.30419588851859e-30,5.56927964116324e-36,1.55150315527757e-34,2.44019629006833e-30,2.34892110399181e-20,0,2.94276951038171e-28,1.55662743465299e-30,6.88851639206746e-29,5.14790209028788e-26,8.58312661046336e-29,1.17462421657222e-22,5.76562574714146e-27,1.17524318136462e-20,4.213606265419e-27,1.04103928798476e-32,6.73440724416951e-23,1.9357510910953e-26,1.80287935501656e-19,3.49394620409478e-23,1.35740964816573e-14,1.36731876487735e-18,5.6367518326372e-22,8.75405399100075e-22,3.47542321957388e-24,5.22732012538989e-16,3.28753378998849e-28,3.37642561459718e-24,4.50198509332093e-21,1.88979960928637e-15,7.86049442809489e-16,4.94586235092273e-15,6.24792767859863e-16,3.247767661733e-21,7.55814857968412e-17,1.05042105830935e-22,1.95273785038494e-23,1.76981964048335e-18,2.87748339880566e-20,4.37319391220558e-20,4.23979528391518e-23
"1_H2_Slot1-1_1_1341",4.86223756274404e-24,8.43396895004858e-26,2.5136235273473e-31,6.07549311881164e-27,1.27821724012937e-23,1.25037977675878e-32,7.92274617676049e-30,2.94276951038171e-28,0,2.00020393950879e-29,2.48185582402757e-31,4.33666933443261e-31,3.35491906894581e-30,2.49523158362047e-24,3.83900569728786e-33,2.4661275571259e-26,2.09133983915851e-24,7.3055795093035e-25,5.09168369239096e-25,1.72625448975916e-29,2.18890102580121e-20,1.81392419033586e-29,1.10832630372119e-16,2.41879704482589e-16,6.64237959593271e-24,8.48878819002555e-22,7.62817198486243e-28,2.17048648646768e-18,4.95248161194798e-30,1.16169237025354e-27,2.54526047301006e-24,3.30127313748155e-17,3.03685037474726e-18,1.24474505467938e-16,4.51474725394966e-18,9.75073419759217e-24,4.26755223979713e-19,1.04591061701484e-24,3.48614300148908e-27,1.20009771850392e-19,4.4346954992661e-23,1.78501269966509e-25,1.00443969745844e-25
"1_H3_Slot1-1_1_1326",1.56405141730503e-19,2.12100420255561e-22,1.772083617395e-32,2.39267091636015e-27,3.87461399817246e-27,5.17507237512817e-25,7.91690471430278e-22,1.55662743465299e-30,2.00020393950879e-29,0,2.20403217683521e-23,7.36460661357643e-26,2.92468631766261e-34,2.96527273846941e-19,2.54566204735987e-25,1.00435350033907e-22,1.15139150532753e-23,3.99298455500795e-30,8.48626078867076e-22,1.17571064626803e-22,6.68168398629805e-21,9.89952681427976e-22,1.58887140840169e-13,1.00878966222791e-20,8.73972344129319e-22,3.13769754858805e-22,4.82770968701605e-24,1.18957817027234e-14,1.21263659729655e-26,1.46115859166632e-24,1.07658034199691e-20,9.64426349976158e-15,1.05959406863147e-14,4.11664497770631e-14,4.70021536891822e-15,1.58871538423942e-18,2.90068107258406e-15,8.94639815765092e-22,1.16217331202652e-23,5.18957684285477e-18,2.31591352698376e-20,4.04896537971306e-18,9.71725560610665e-26
