"","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E3_mix_Slot1-1_1_3721","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G3_mix_Slot1-1_1_3723","nabut_1_G5_treat_Slot1-1_1_3716","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651"
"nabut_1_D5_treat_Slot1-1_1_3713",1,0.979500571133592,0.923513567019518,0.982090999139681,0.966408815541958,0.9867080643202,0.944068044703353,0.968204986762523,0.956195977041766,0.973452284182932,0.970268886436433,0.984039804294514,0.95831499252827,0.959006022899725,0.985670089444714,0.991274817440473,0.98687251471789,0.990342709101462,0.973836070457704,0.970960936503394,0.951012695014543,0.955809692346327,0.946648540330586,0.973303168801141,0.983406306183957,0.984013463532007,0.979822682396654,0.959178075393957,0.970558503725573
"nabut_1_E2_mix_Slot1-1_1_3692",0.979500571133592,1,0.876900783706013,0.970383151132877,0.977306791485767,0.980039298003658,0.885707834742411,0.943489763443135,0.973522778374682,0.987026839590937,0.988762675783993,0.973378763964868,0.963835769869812,0.980726569162404,0.976127577101969,0.975489702916097,0.979922181447276,0.975983253245948,0.9653173921856,0.967686161962673,0.919604540088178,0.96031443166056,0.970798413467465,0.96803492555905,0.988678472001594,0.987161725893689,0.981591431274162,0.962743103955491,0.977234441802273
"nabut_1_E3_mix_Slot1-1_1_3721",0.923513567019518,0.876900783706013,1,0.930796178105992,0.849614751629605,0.928921300193815,0.970873140393241,0.922645836724435,0.85234720436094,0.888903058312199,0.85810913991901,0.874997080835935,0.842879193139605,0.867362481806907,0.910696025826942,0.915923219107362,0.916542659967245,0.921993562299921,0.885824158605787,0.910167807382514,0.911414169206111,0.883157686636283,0.861069045155149,0.908728109743493,0.901316304160288,0.914301362051202,0.907050086194534,0.882539460114925,0.885839572268976
"nabut_1_E5_treat_Slot1-1_1_3714",0.982090999139681,0.970383151132877,0.930796178105992,1,0.951248051640211,0.988135569707582,0.937494135335575,0.951851691261315,0.956278249402789,0.979719428601766,0.960375630578104,0.967871952162229,0.936083202550366,0.96214392479193,0.982841308637449,0.983251285486368,0.988160029651542,0.979409278822479,0.956708231449013,0.967674983960541,0.946291504723265,0.938944956679693,0.937982524635946,0.960563472286085,0.970034454268094,0.978862774046286,0.965844941079351,0.9577724486166,0.959413251512363
"nabut_1_F2_mix_Slot1-1_1_3693",0.966408815541958,0.977306791485767,0.849614751629605,0.951248051640211,1,0.966640702051522,0.861325104723556,0.952005876023378,0.983464915924192,0.962850746048961,0.9919099754813,0.979700183970497,0.99579821909887,0.974042326437694,0.975796043747551,0.968008825239317,0.955846950987403,0.97325946796174,0.9714428022336,0.948627951129682,0.904195219968594,0.97590726730163,0.968219024623435,0.967837085821954,0.978064092991863,0.979726567840708,0.957872022926789,0.971865862963901,0.98243269566384
"nabut_1_F5_treat_Slot1-1_1_3715",0.9867080643202,0.980039298003658,0.928921300193815,0.988135569707582,0.966640702051522,1,0.932588379847603,0.978212935475387,0.962957289313542,0.986714656630937,0.974550246520206,0.979236074702774,0.952173378901681,0.965958677993074,0.985410688480605,0.984621543675703,0.986486875162588,0.989030994973372,0.981632579652549,0.964091624072045,0.935277658531838,0.966988387067957,0.956558367508414,0.978906545422272,0.991154824430747,0.993762379979817,0.985464540235815,0.967048236423964,0.981766329255378
"nabut_1_G3_mix_Slot1-1_1_3723",0.944068044703353,0.885707834742411,0.970873140393241,0.937494135335575,0.861325104723556,0.932588379847603,1,0.924443889910703,0.855515672370335,0.894227247340979,0.858604184898512,0.900012578389088,0.858346894655309,0.863672658964139,0.914231518257235,0.939251032513054,0.934256318009671,0.935412707483323,0.898218427355759,0.92339603149227,0.942214216263535,0.870103868473999,0.860047000156133,0.906913094778302,0.911174617444557,0.918158616361398,0.917590046393418,0.87436028285771,0.882433048743684
"nabut_1_G5_treat_Slot1-1_1_3716",0.968204986762523,0.943489763443135,0.922645836724435,0.951851691261315,0.952005876023378,0.978212935475387,0.924443889910703,1,0.926002765427845,0.951366986455887,0.946467543394435,0.95912591629166,0.943158449711878,0.921478001220789,0.963817048401013,0.957852180222458,0.951662525012942,0.967796494373217,0.964845456158126,0.949398016075195,0.901794191974837,0.959899060175439,0.929729758588537,0.96308332130589,0.967340353630125,0.971018571958165,0.956925040705995,0.951499011173526,0.960256677573969
"nabut_1_H2_mix_Slot1-1_1_3695",0.956195977041766,0.973522778374682,0.85234720436094,0.956278249402789,0.983464915924192,0.962957289313542,0.855515672370335,0.926002765427845,1,0.964107928356287,0.985788868658766,0.963673584307144,0.971954473787161,0.989377484719742,0.976979756331356,0.959964289090973,0.961313428464501,0.965401874970295,0.958516662326761,0.939458527371384,0.908385997458856,0.969022714288926,0.95346819888308,0.963918844914861,0.970959886820095,0.975154500112587,0.948444814996842,0.973877672096647,0.973530016097388
"nabut_1_H5_treat_Slot1-1_1_3717",0.973452284182932,0.987026839590937,0.888903058312199,0.979719428601766,0.962850746048961,0.986714656630937,0.894227247340979,0.951366986455887,0.964107928356287,1,0.973156300784563,0.970977626739651,0.945215031572356,0.971965471205703,0.980036791248492,0.977654123011894,0.985579894571892,0.97378439184495,0.964831490035637,0.965428918576246,0.916440856061195,0.946240602303096,0.958528013262592,0.961408292390799,0.982648870480678,0.987399948391785,0.979046507965778,0.959278352287568,0.969529925558421
