"PTM1","PTM2","Log2FoldChange","pvalue"
"H3K9me","H4K12ac",0.457408994729616,0
"H4K5ac","H3K18acK23ac",-0.0621305430197123,0
"H3K79me","H3K18acK23ac",0.0623113161195701,0
"H3K18ac","H3K18acK23ac",-0.0466352049988605,0
"H1K25me","H3K18acK23ac",-0.35656348374371,0
"H3K18acK23ac","H4K5ac",-0.0621305430197123,0
"H3K27me2K36me","H3K9me2",0.152912147783177,0
"H3K18ac","H3K9me2",0.355662491686696,0
"H4K16ac","H3K9me2",0.0966003067400828,0
"H3K4me","H1.2K33ac",-0.160036861179055,0
"H2A1AK5ac","H1.2K33ac",0.140904803237032,0
"H4K5acK12acK16ac","H3K36me2",-0.0799729640642134,0
"H2A1AK5ac","H3K23su",-0.115212349254279,0
"H4K8acK12acK16ac","H3K23su",-0.0061202053624456,0
"H4K5acK16ac","H3K23su",0.70947614143106,0
"H4K5acK8acK16ac","H3K23su",0.435760532444224,0
"H3K9ac","H3K9meK14ac",0.247233408407932,0
"H3K9meK14ac","H3K9ac",0.247233408407932,0
"H1.2K33ac","H3K4me",-0.160036861179055,0
"H4K5acK16ac","H3K4me",-0.948437783884991,0
"H4K8acK16ac","H3K4me",-0.863426141846763,0
"H4K5acK12acK16ac","H3K4me",-0.456280720393546,0
"H1.2K33ac","H2A1AK5ac",0.140904803237032,0
"H3K23su","H2A1AK5ac",-0.115212349254279,0
"H4K8acK12acK16ac","H2A1AK5ac",0.273227311418962,0
"H4K8acK16ac","H2A1AK5ac",-0.112511200464498,0
"H4K5acK8acK16ac","H2A1AK5ac",0.262480606048931,0
"H4K5acK12acK16ac","H2A1AK5ac",0.076921289848995,0
"H4K5acK16ac","H3K9acK14ac",0.192282740165331,0
"H4K8acK16ac","H3K9acK14ac",-0.169668647612068,0
"H4K5acK12acK16ac","H3K9acK14ac",-0.31832990467697,0
"H3K23su","H4K8acK12acK16ac",-0.0061202053624456,0
"H2A1AK5ac","H4K8acK12acK16ac",0.273227311418962,0
"H4K12acK16ac","H4K8acK12acK16ac",-0.199740175344866,0
"H4K5acK16ac","H4K8acK12acK16ac",-0.0450418837045916,0
"H4K8acK16ac","H4K8acK12acK16ac",-0.0895403935466399,0
"H4K5acK8acK16ac","H4K8acK12acK16ac",0.161342588012902,0
"H4K5acK12acK16ac","H4K8acK12acK16ac",0.0755698650091127,0
"H4K5acK8acK12ac","H4K8acK12acK16ac",0.660074323546294,0
"H4K8acK12acK16ac","H4K12acK16ac",-0.199740175344866,0
"H4K5acK16ac","H4K12acK16ac",0.177549939386567,0
"H4K5acK8acK16ac","H4K12acK16ac",0.0237944417088494,0
"H4K5acK12acK16ac","H4K12acK16ac",0.250240546662305,0
"H3K23su","H4K5acK16ac",0.70947614143106,0
"H3K4me","H4K5acK16ac",-0.948437783884991,0
"H3K9acK14ac","H4K5acK16ac",0.192282740165331,0
"H4K8acK12acK16ac","H4K5acK16ac",-0.0450418837045916,0
"H4K12acK16ac","H4K5acK16ac",0.177549939386567,0
"H4K8acK16ac","H4K5acK16ac",-0.187623599081378,0
"H4K5acK12acK16ac","H4K5acK16ac",-0.0252110962630821,0
"H3K4me","H4K8acK16ac",-0.863426141846763,0
"H2A1AK5ac","H4K8acK16ac",-0.112511200464498,0
"H3K9acK14ac","H4K8acK16ac",-0.169668647612068,0
"H4K8acK12acK16ac","H4K8acK16ac",-0.0895403935466399,0
"H4K5acK16ac","H4K8acK16ac",-0.187623599081378,0
"H4K5acK8acK16ac","H4K8acK16ac",-0.121727283723715,0
"H4K5acK12acK16ac","H4K8acK16ac",-0.0138854019187503,0
"H3K23su","H4K5acK8acK16ac",0.435760532444224,0
"H2A1AK5ac","H4K5acK8acK16ac",0.262480606048931,0
"H4K8acK12acK16ac","H4K5acK8acK16ac",0.161342588012902,0
"H4K12acK16ac","H4K5acK8acK16ac",0.0237944417088494,0
"H4K8acK16ac","H4K5acK8acK16ac",-0.121727283723715,0
"H4K5acK12acK16ac","H4K5acK8acK16ac",0.0797419036661104,0
"H4K5acK12acK16ac","H4K5acK8acK12acK16ac",-0.067203890503298,0
"H3K36me2","H4K5acK12acK16ac",-0.0799729640642134,0
"H3K4me","H4K5acK12acK16ac",-0.456280720393546,0
"H2A1AK5ac","H4K5acK12acK16ac",0.076921289848995,0
"H3K9acK14ac","H4K5acK12acK16ac",-0.31832990467697,0
"H4K8acK12acK16ac","H4K5acK12acK16ac",0.0755698650091127,0
"H4K12acK16ac","H4K5acK12acK16ac",0.250240546662305,0
"H4K5acK16ac","H4K5acK12acK16ac",-0.0252110962630821,0
"H4K8acK16ac","H4K5acK12acK16ac",-0.0138854019187503,0
"H4K5acK8acK16ac","H4K5acK12acK16ac",0.0797419036661104,0
"H4K5acK8acK12acK16ac","H4K5acK12acK16ac",-0.067203890503298,0
"H4K5acK12ac","H4K5acK12acK16ac",-0.429567540188422,0
"H4K12ac","H3K9me",0.457408994729616,0
"H3K9me2","H3K27me2K36me",0.152912147783177,0
"H3K18acK23ac","H3K79me",0.0623113161195701,0
"H4K5acK12acK16ac","H4K5acK12ac",-0.429567540188422,0
"H3K18acK23ac","H3K18ac",-0.0466352049988605,0
"H3K9me2","H3K18ac",0.355662491686696,0
"H4K8acK12acK16ac","H4K5acK8acK12ac",0.660074323546294,0
"H1K25me","H2AJK5acT6ac",0.215792522416995,0
"H3K18acK23ac","H1K25me",-0.35656348374371,0
"H2AJK5acT6ac","H1K25me",0.215792522416995,0
"H3K9me2","H4K16ac",0.0966003067400828,0
"H3K4me","H4K8ac",-0.912486895242397,2e-04
"H3K18ac","H3K36me2",0.266911490978024,2e-04
"H2AJK5acK9ac","H3K23su",-0.791197339462775,2e-04
"H4K8ac","H3K4me",-0.912486895242397,2e-04
"H4K5acK8acK12acK16ac","H2A1AK5ac",0.160837589365718,2e-04
"H4K5acK8acK16ac","H4K5acK16ac",-0.0695660477320175,2e-04
"H4K5acK16ac","H4K5acK8acK16ac",-0.0695660477320175,2e-04
"H3K18ac","H4K5acK8acK16ac",-0.327278757463245,2e-04
"H2A1AK5ac","H4K5acK8acK12acK16ac",0.160837589365718,2e-04
"H4K16ac","H4K5acK8acK12acK16ac",-0.327983663904182,2e-04
"H3K36me2","H3K18ac",0.266911490978024,2e-04
"H4K5acK8acK16ac","H3K18ac",-0.327278757463245,2e-04
"H3K23su","H2AJK5acK9ac",-0.791197339462775,2e-04
"H4K5acK8acK12acK16ac","H4K16ac",-0.327983663904182,2e-04
"H3K9meK14ac","H1.2K33ac",-0.230425000804456,4e-04
"H1.2K33ac","H3K9meK14ac",-0.230425000804456,4e-04
"H3K79me","H3K4me",0.351982909059016,4e-04
"H3K4me","H3K79me",0.351982909059016,4e-04
"H3K9me","H4K5ac",0.342552097650536,6e-04
"H3K79me","H2A1AK5ac",0.00724857764649933,6e-04
"H4K5ac","H3K9me",0.342552097650536,6e-04
"H2A1AK5ac","H3K79me",0.00724857764649933,6e-04
"H4K16ac","H1.5K33ac",-0.18323296623668,6e-04
"H1.5K33ac","H4K16ac",-0.18323296623668,6e-04
"H3K79me","H3K9meK14ac",0.113757785711525,8e-04
"H3K23ac","H4K5acK16ac",0.337376024769346,8e-04
"H3K18ac","H4K5acK8acK12acK16ac",0.0135971922142167,8e-04
"H3K9meK14ac","H3K79me",0.113757785711525,8e-04
"H4K5acK8acK12acK16ac","H3K18ac",0.0135971922142167,8e-04
"H4K5acK16ac","H3K23ac",0.337376024769346,8e-04
"H3K18ac","H2A1AK5ac",-0.0395249738096636,0.001
"H3K79me","H3K9acK14ac",-0.310210088622944,0.001
"H3K9acK14ac","H3K79me",-0.310210088622944,0.001
"H2A1AK5ac","H3K18ac",-0.0395249738096636,0.001
"H2A1AK5ac","H3K27meK36me2",-0.00615978132110205,0.0012
"H3K27meK36me2","H2A1AK5ac",-0.00615978132110205,0.0012
"H3K79me","H3K9me2",-0.0520498913959061,0.0014
"H3K9me2","H3K79me",-0.0520498913959061,0.0014
"H4K5ac","H3K27meK36me2",-0.453154508352386,0.0018
"H2A1BK15ac","H3K27meK36me2",-0.667505171230063,0.0018
"H3K27meK36me2","H4K5ac",-0.453154508352386,0.0018
"H3K27meK36me2","H2A1BK15ac",-0.667505171230063,0.0018
"H4K5acK12ac","H3K9acK14ac",0.0987826426226157,0.002
"H3K9acK14ac","H4K5acK12ac",0.0987826426226157,0.002
"H1.2K33ac","H3K18acK23ac",0.220444271010026,0.0024
"H3K18acK23ac","H1.2K33ac",0.220444271010026,0.0024
"H4K8acK12acK16ac","H3K18acK23ac",0.200364054843489,0.0026
"H1K25me","H3K9meK14ac",-0.157020666440875,0.0026
"H3K18acK23ac","H4K8acK12acK16ac",0.200364054843489,0.0026
"H3K9meK14ac","H1K25me",-0.157020666440875,0.0026
"H4K5acK8acK12acK16ac","H3K36me2",0.11614389538166,0.0028
"H3K36me2","H4K5acK8acK12acK16ac",0.11614389538166,0.0028
"H4K5acK16ac","H4K8ac",0.377020991454351,0.0034
"H4K5acK16ac","H3K36me2",0.205513510004801,0.0034
"H4K8ac","H4K5acK16ac",0.377020991454351,0.0034
"H3K36me2","H4K5acK16ac",0.205513510004801,0.0034
"H3K9meK14ac","H3K18acK23ac",0.322454354955039,0.0036
