"","folder","filename","gradient","date","experiment","replicate","well","type","multiplier","condition","run_id","notes","total.ms1","total.ms2","experiment_replicate","replicate.unique","knn.training.split","knn.mix.predict","condition.predict","treat.subcluster"
"1_D3_Slot1-1_1_1321","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_D3_Slot1-1_1_1321.d",30,230620,"auto","1","D3","cell","1","control",1321,"",10741261.1520638,3541731,"auto_1","1","test",NA,"control",NA
"1_D4_Slot1-1_1_1300","230620_auto_cells","BM20230623_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_D4_Slot1-1_1_1300.d",30,230620,"auto","1","D4","cell","1","control",1300,"",7464494.06547869,2662109,"auto_1","1","test",NA,"control",NA
"1_E3_Slot1-1_1_1322","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_E3_Slot1-1_1_1322.d",30,230620,"auto","1","E3","cell","1","control",1322,"",12609882.9356178,4284147,"auto_1","1","train",NA,"control",NA
"1_E4_Slot1-1_1_1301","230620_auto_cells","BM20230623_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_E4_Slot1-1_1_1301.d",30,230620,"auto","1","E4","cell","1","control",1301,"",6422592.07204477,2114691,"auto_1","1","test",NA,"control",NA
"1_F3_Slot1-1_1_1323","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_F3_Slot1-1_1_1323.d",30,230620,"auto","1","F3","cell","1","control",1323,"",6915364.86832992,2307605,"auto_1","1","train",NA,"control",NA
"1_F4_Slot1-1_1_1302","230620_auto_cells","BM20230623_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_F4_Slot1-1_1_1302.d",30,230620,"auto","1","F4","cell","1","control",1302,"",6792091.31778556,2160487,"auto_1","1","test",NA,"control",NA
"1_G3_Slot1-1_1_1325","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_G3_Slot1-1_1_1325.d",30,230620,"auto","1","G3","cell","1","control",1325,"",10676869.6349638,3611832,"auto_1","1","train",NA,"control",NA
"1_G4_Slot1-1_1_1305","230620_auto_cells","BM20230623_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_G4_Slot1-1_1_1305.d",30,230620,"auto","1","G4","cell","1","control",1305,"",6787385.08908617,2163857,"auto_1","1","train",NA,"control",NA
"1_H2_Slot1-1_1_1341","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_H2_Slot1-1_1_1341.d",30,230620,"auto","1","H2","cell","1","control",1341,"",7136928.27038731,2455058,"auto_1","1","train",NA,"control",NA
"1_H3_Slot1-1_1_1326","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_H3_Slot1-1_1_1326.d",30,230620,"auto","1","H3","cell","1","control",1326,"",6834198.77957833,2316813,"auto_1","1","train",NA,"control",NA
"1_H4_Slot1-1_1_1306","230620_auto_cells","BM20230623_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_H4_Slot1-1_1_1306.d",30,230620,"auto","1","H4","cell","1","control",1306,"",6863642.21424011,2171178,"auto_1","1","train",NA,"control",NA
"1_I2_Slot1-1_1_1342","230620_auto_cells","BM20230624_Ultra_IO25_200nl_30min2_diaPASEF_230620_P4_1_I2_Slot1-1_1_1342.d",30,230620,"auto","1","I2","cell","1","control",1342,"",7642711.71953915,2645389,"auto_1","1","test",NA,"control",NA
