"","100_hist_stndrd_C5_Slot1-1_1_1279","1_hist_stndrd_D5_Slot1-1_1_1281","1_hist_stndrd_E5_Slot1-1_1_1282","1_hist_stndrd_F5_Slot1-1_1_1283","1_hist_stndrd_G5_Slot1-1_1_1285","1_hist_stndrd_H5_Slot1-1_1_1286","1_hist_stndrd_I5_Slot1-1_1_1287","2_hist_stndrd_J5_Slot1-1_1_1289","2_hist_stndrd_K5_Slot1-1_1_1290","4_hist_stndrd_L5_Slot1-1_1_1292","4_hist_stndrd_M5_Slot1-1_1_1293","8_hist_stndrd_N5_Slot1-1_1_1295","8_hist_stndrd_O5_Slot1-1_1_1296","auto_2_D5_histStand_1_Slot1-1_1_3404","auto_2_E5_histStand_1_Slot1-1_1_3405","auto_2_F5_histStand_1_Slot1-1_1_3406","auto_2_G5_histStand_2_Slot1-1_1_3407","auto_2_H5_histStand_2_Slot1-1_1_3408","auto_2_I5_histStand_2_Slot1-1_1_3409","auto_2_J5_histStand_4_Slot1-1_1_3410","auto_2_K5_histStand_4_Slot1-1_1_3411","auto_2_L5_histStand_4_Slot1-1_1_3412","auto_2_M5_histStand_8_Slot1-1_1_3413","auto_2_N5_histStand_8_Slot1-1_1_3414","auto_2_O5_histStand_8_Slot1-1_1_3415","auto_4_C5_histStand_100_Slot1-1_1_3489","auto_4_D5_histStand_1_Slot1-1_1_3477","auto_4_E5_histStand_1_Slot1-1_1_3478","auto_4_F5_histStand_1_Slot1-1_1_3479","auto_4_G5_histStand_2_Slot1-1_1_3480","auto_4_H5_histStand_2_Slot1-1_1_3481","auto_4_I5_histStand_2_Slot1-1_1_3482","auto_4_J5_histStand_4_Slot1-1_1_3483","auto_4_K5_histStand_4_Slot1-1_1_3484","auto_4_L5_histStand_4_Slot1-1_1_3485","auto_4_M5_histStand_8_Slot1-1_1_3486","auto_4_N5_histStand_8_Slot1-1_1_3487","auto_4_O5_histStand_8_Slot1-1_1_3488"
"H1-K25[me];K31[un]",0.5900995694001,0.660390074204949,0.664275807846631,0.665963889280832,0.662591911926468,0.662484811849437,0.668888127110328,0.665449542891711,0.667168551701696,0.661480778706929,0.66699890271,0.658874415248902,0.661128127755675,0.589944817113531,0.622555560343619,0.65212473743434,0.65501914355464,0.662429761162157,0.662004616309566,0.667603501276161,0.665981995064717,0.665437684609105,0.668879666159741,0.667328280199033,0.671820036641806,0.662386534313006,0.643586167967577,0.637389980606255,0.661211670326773,0.664198806388141,0.667601588997394,0.658021043211167,0.666552517509523,0.668147743180535,0.669689853796922,0.668237793300496,0.671328366483976,0.672865649558536
"H1-K25[un];K31[un]",0.178842138645627,0.0624608697516685,0.0553563250707296,0.0522454273962697,0.0584446942556947,0.0586406246368626,0.046820926812179,0.0531948779797679,0.0500162455870592,0.0604745343604442,0.0503306379691547,0.0652109948251392,0.0611174330922697,0.179075570227959,0.127790816976278,0.0773172950334986,0.0721537901689056,0.0587413120366469,0.0595183718052423,0.0492095041344816,0.0522119799420263,0.0532167512286226,0.0468366874667827,0.0497200986549346,0.0413364130301105,0.0588203627130682,0.0923109704710199,0.10297393676593,0.0609651890274444,0.0554978724604732,0.0492130532089946,0.066754267622714,0.0511571496529226,0.0481986354261783,0.045325774542278,0.0480312257028724,0.0422593716160926,0.0393692485941105
"H1.5-K33[ac];K45[un];K51[un]",0.645335434552747,0.556862167179727,0.560302786401711,0.547664416322351,0.578907339132118,0.550672995348506,0.588766773777498,0.613051040667837,0.615954459723972,0.605789800682242,0.615593328289504,0.627908347638656,0.61149116543579,0.564551684162413,0.605451929812305,0.590603989290568,0.611617071404618,0.597166757519517,0.624119705581039,0.625060484508444,0.621924979979642,0.611636886408868,0.619321271763997,0.618807637905046,0.624415094503497,0.608764029907081,0.602007580809955,0.591555775585473,0.592916821671693,0.618225236550994,0.597751231388279,0.629079118047782,0.639484904862145,0.641011683356923,0.598517577402422,0.614262246315147,0.632269310090693,0.651005279333789
"H1.5-K33[un];K45[un];K51[un]",0.0892678979137541,0.226985926155538,0.222180959866381,0.23963908157128,0.195494443556924,0.235530608608615,0.180849589973589,0.143186329252428,0.138523902349043,0.154694156887664,0.139105745573606,0.118949133204711,0.14567673401617,0.216192108965211,0.155224394570098,0.178080631605103,0.145476093856616,0.168084351714648,0.125220134330632,0.123668826323493,0.12882417950188,0.14544451126352,0.133072869914303,0.133907580354592,0.124733465699282,0.150006602894453,0.160603649843135,0.176641119545404,0.174576634327027,0.134852685421368,0.167186023173136,0.116998445765509,0.0993888844121959,0.0967632251662539,0.166006138387479,0.141245613513617,0.111652014240811,0.079303248935169
"H2A1A-K5[ac];K9[un]",0.146828357581116,0.058479253242565,0.0520921301927648,0.0527785460735527,0.0526724391664921,0.0525695887156139,0.0506524873225923,0.0553728024371591,0.0537701579432184,0.0607099474751759,0.0572753733333776,0.0659527018094905,0.0618316850082509,0.0562289618830187,0.0731457466419969,0.0544735901553375,0.0523594050138406,0.0570296884636056,0.0508946237206236,0.0471122061193449,0.0522641150096361,0.0509010631702092,0.050748675312469,0.0750673451476818,0.0503947404038507,0.0622339035273628,0.0863415386086311,0.0707021896938887,0.0639985774839098,0.050599988688619,0.0527907427204686,0.0590365881948831,0.060166735417633,0.0510410200214127,0.0496369973475237,0.0527582814557078,0.0481106324771935,0.0504495898080491
"H2A1A-K5[un];K9[un]",0.610767701160473,0.662573023542382,0.666046864495632,0.665675175297426,0.665732657117189,0.665788365826887,0.666825144778632,0.664266845062165,0.66513752959433,0.661351687663924,0.66323041555672,0.658464534338602,0.660735925262357,0.663800827325561,0.65446490954455,0.66475563416704,0.665902183879308,0.663364424268389,0.666694364977961,0.668731723600548,0.665953772891066,0.66669088631405,0.666773198716458,0.653388816228086,0.666964302372624,0.660514872167459,0.647009728360816,0.655828651149834,0.659543404081557,0.666853493277216,0.665668567344951,0.662268269908353,0.661649492253975,0.666615271506379,0.667373088270895,0.665686154075585,0.668195083083112,0.666934693798333
"H2A1B-K13[un];K15[ac]",0.383079920031653,0.210239622907681,0.217096367758493,0.219896626500838,0.231256974766928,0.217641192610473,0.224799965434907,0.219987776570307,0.221932424835519,0.218299198381766,0.214412093644847,0.215390023836895,0.228764581478397,0.209411455926353,0.212436501298662,0.256500625123875,0.238672718314009,0.250878990404962,0.219180167408767,0.221156237025287,0.20912168903958,0.226518640541037,0.231350358058715,0.228594232696041,0.212365644274011,0.233890193976792,0.212888448175608,0.22578949610514,0.229969763821388,0.213789786222172,0.228152777326869,0.221199517249807,0.219572935192248,0.215308844298452,0.215473140820979,0.21350553949972,0.210391087529819,0.211268039088209
"H2A1B-K13[un];K15[un]",0.42736015150153,0.568731987177551,0.563912924961454,0.561928582258933,0.553779916265117,0.563527590033299,0.558430952915309,0.561863830992556,0.560479981099357,0.563061728128925,0.565806194340071,0.56511744489937,0.555581333460328,0.569310244659781,0.567194095307625,0.535089125544847,0.548373998643345,0.539322954755747,0.562437189796481,0.561032884014138,0.569512378898241,0.557198016584969,0.553712271497065,0.555704173700443,0.567243787421251,0.551868285365153,0.566877003427757,0.557721531827273,0.554711234394305,0.566243884003483,0.556022344128294,0.561002073493199,0.562158444822323,0.565174662789052,0.565058853231752,0.566443649967139,0.56862614084259,0.568012774808411
"H2AJ-K5[ac];K9[ac]",0.679695032790317,0.686646457546036,0.685179117888378,0.685778064001595,0.687537778482888,0.68684877673269,0.687121488876699,0.687192350926837,0.686472886281025,0.687622242032287,0.687852020442916,0.686275105223821,0.687375046652634,0.684729284791915,0.684411096068004,0.686786013389458,0.686665306001163,0.688649096998667,0.686819059078966,0.690362665894242,0.688378778466776,0.687715199396981,0.688871120162531,0.683735671987357,0.688030691461975,0.688811424822469,0.685739285678308,0.687254313226057,0.680325312367884,0.686696647371733,0.686367638861007,0.683660533199291,0.686745878445314,0.687093145405489,0.688718735588357,0.688476473217001,0.68860545652749,0.688864010172914
"H2AJ-K5[ac];K9[hib]",0.00822687585682045,0.00422154783088853,0.00904390568709427,0.00488322783115978,0.00352991891612005,0.00486849203734376,0.00343901186394547,0.00388675020432785,0.00509600932921818,0.00388096752766866,0.00391695019357095,0.00409920527330253,0.00348567194715414,0.00850480309368056,0.00619053597162842,0.00375542082067524,0.00361565846988889,0.00653119810240039,0.00425963463904647,0.00224815729403807,0.00235943080921792,0.00382353400534604,0.00269325825235108,0.00243544736575287,0.00257936678762053,0.00207628260867697,0.0067230430721543,0.0045411352596261,0.0121520449439613,0.00565660585894558,0.0043531858866119,0.00679677550033172,0.00417744195799198,0.00527276330287659,0.00221621442186372,0.00319733418182053,0.00268527101136074,0.0021895284581983
