"","H4K8ac","H4K12ac","H3K18acK23ac","H3K27meK36me2","H4K5ac","H2A1BK15ac","H3K9me2","H3K9me3K14ac","H3K9me3","H4K5acK8ac","H1.2K33ac","H3K36me2","H3K23su","H3K9meK14ac","H3K9ac","H3K4me","H3K9me2K14ac","H2A1AK5ac","H3K9acK14ac","H4K8acK12acK16ac","H4K12acK16ac","H4K5acK16ac","H4K8acK16ac","H4K5acK8acK16ac","H4K5acK8acK12acK16ac","H4K5acK12acK16ac","H3K9me","H3K27me2K36me","H3K79me","H3K14ac","H4K5acK12ac","H3K18ac","H4K5acK8acK12ac","H2AJK5acK9ac","H2AJK5acT6ac","H3K23ac","H4K8acK12ac","H1.5K33ac","H1K25me","H4K16ac"
"H4K8ac",1,0.894567240460985,0.215516599130602,-0.120450613537414,0.725546918594764,-0.0468584786820998,-0.383394491864734,-0.53911301856667,-0.479466308925865,0.0492527666016116,-0.243235230434646,0.090546136475512,-0.0701162566902916,0.160800274661869,0.634284125134235,-0.531126837769004,0.0369191234628662,-0.247139582794416,0.759092309356216,-0.143962770703052,0.270698200475956,0.456811286368718,0.2806015549327,-0.0935955286059402,-0.150192799152999,0.110017812441222,0.340699118562123,0.0882107742646691,0.0367821813588449,0.221094610731079,0.304226841618791,-0.0156548840314984,0.201878220858427,-0.0770262329750961,0.108702240759349,0.339841260429061,0.529407576665606,0.133219551773498,0.288889414283107,-0.415128616577425
"H4K12ac",0.894567240460985,1,0.339565627100767,-0.0256894932529097,0.723606652840275,-0.106885264508114,-0.356684357999922,-0.520536628388114,-0.445509878097232,0.00100271688734027,-0.294934173777824,-0.0415733602402317,-0.157758762703605,0.0936815235660085,0.716308583888663,-0.473880949476717,-0.0232100273093326,-0.373135725499357,0.812172962090738,-0.213604673391272,0.243337730919163,0.372741392292217,0.265960009867935,-0.177959120461435,-0.122702474110905,0.086346718301146,0.321399886413595,0.14888052029398,0.111514351447996,0.115317608434731,0.332968569805475,-0.11790367104073,0.208373857900465,-0.0815749494305779,0.229942829440815,0.263736315063061,0.588293209796222,0.0224757574758509,0.268585003659341,-0.43662799547065
"H3K18acK23ac",0.215516599130602,0.339565627100767,1,0.476709842224352,0.451850011134977,0.0765170775426762,0.128493697580014,-0.227209681318059,-0.391852472368145,-0.426813864151941,0.0092304863498693,-0.550385783686523,-0.280373129836409,0.141069898408875,0.109807272279612,-0.0727521303798351,-0.109296278624475,0.116498039678351,0.172890110234856,0.127014694159274,0.159727115573278,0.332798977229742,0.243224813980095,0.0940606802133934,0.209166207007066,0.324749406725538,0.308389321092091,0.333676120138762,0.494393300084926,-0.05331814762937,0.121339674757305,0.248162750809522,0.314418196051263,-0.331940677352564,-0.0642682936801154,-0.585985415010983,-0.0315992678720037,-0.107072032054485,-0.276550881110818,-0.492341759905644
"H3K27meK36me2",-0.120450613537414,-0.0256894932529097,0.476709842224352,1,0.161809048514457,-0.136571451986023,0.279573664123659,0.0860610910535072,0.135446681493916,-0.194138941095975,-0.073785621235434,-0.723085390574833,-0.315748730532954,-0.169116594240166,-0.0526732806072473,0.2129840395767,-0.269054843824415,0.105682248692394,-0.11956016140193,0.104332529533823,-0.130198918183712,-0.0679659146876785,-0.0318878066555313,0.0423686586390224,0.107002482330906,0.0561347357851791,-0.0233571022956773,-0.06655179254178,0.208569042648494,-0.250117181799111,0.269024605765385,0.0213116111406877,0.0831402143138034,-0.0378078141397529,0.000393894760096683,-0.499291885160432,-0.020478054873222,-0.0791413240600063,-0.139305755925926,-0.33614210382759
"H4K5ac",0.725546918594764,0.723606652840275,0.451850011134977,0.161809048514457,1,0.192972749111624,-0.0703142744763645,-0.356304754010313,-0.473732190197011,-0.102508174257489,-0.0296317610070399,-0.319516189286692,-0.0722375506069744,0.135354972157879,0.528595143277348,-0.306255055751396,-0.145468762811902,-0.0231135192095289,0.569213552426895,-0.0547068098845497,0.290631391998747,0.521631316314131,0.362087618232317,0.0788356298811547,0.0436709323968588,0.22147418570556,0.409578153725148,0.350022692703156,0.328107439164133,-0.0840348914232335,0.303064199491293,0.0404551488441216,0.231574449374724,-0.229138694964684,-0.068012469002172,0.00371922824601449,0.405084673335814,0.158677865036857,0.0229027389859766,-0.332083293902512
"H2A1BK15ac",-0.0468584786820998,-0.106885264508114,0.0765170775426762,-0.136571451986023,0.192972749111624,1,0.111690351951404,0.0384866613510846,-0.0128631795361335,-0.174615560644106,0.220254752388319,-0.0654388223403618,0.132174109517638,-0.16719013134696,-0.240047606609646,0.0867089060262208,-0.305580479113209,0.106422242534099,-0.0349073919862334,0.047125565113661,-0.0111375017982809,0.060184255918821,-0.144377671432457,0.0570560815271465,0.0543648872530894,-0.0242991578363619,0.307532910516593,0.251291172986569,0.252702919458089,-0.111076662749968,0.289437739333837,0.43764891448617,0.171869080143161,-0.408081653785475,-0.35992424222294,-0.137810167759574,-0.239168545802522,-0.0342296094317688,-0.243270925155465,0.197138337507751
"H3K9me2",-0.383394491864734,-0.356684357999922,0.128493697580014,0.279573664123659,-0.0703142744763645,0.111690351951404,1,0.768848326187674,0.441054056086596,-0.423341949159709,0.123653798854102,-0.484962974469573,-0.371230879249536,-0.557445468630427,-0.59536200526192,0.281909029353034,-0.454849477276969,-0.14852652848996,-0.621585116440369,-0.332117261303555,-0.412524784069634,-0.460280055134215,-0.188447303536576,-0.340808503945966,-0.382114025349557,-0.429318240391801,-0.229342213088762,0.390370324069962,0.129081124934269,-0.697099675690505,0.118351076489736,0.332990733095106,-0.492261228977532,0.119404108650893,-0.11484460033454,-0.686134027101183,-0.458667040229465,0.0449565680056335,-0.0792770364030075,0.280440071832152
"H3K9me3K14ac",-0.53911301856667,-0.520536628388114,-0.227209681318059,0.0860610910535072,-0.356304754010313,0.0384866613510846,0.768848326187674,1,0.660228293677948,-0.0596815483354883,0.226605691191699,-0.320646476088778,-0.218620692222598,-0.47818171154724,-0.591675024135188,0.240530368656676,-0.160027654228394,-0.215892841773388,-0.726401289438074,-0.346214246106156,-0.548657677205715,-0.604040151330278,-0.353644509789914,-0.271969164050923,-0.501643789521374,-0.479211259486965,-0.473577366688604,0.302711353097068,-0.132900936498856,-0.498824480867288,-0.108496149295329,0.0441293629468201,-0.511821155910935,0.386553860795632,0.0727254285314049,-0.400466912295093,-0.232119451750763,-0.064200433893404,0.116099387529883,0.314798341862526
"H3K9me3",-0.479466308925865,-0.445509878097232,-0.391852472368145,0.135446681493916,-0.473732190197011,-0.0128631795361335,0.441054056086596,0.660228293677948,1,-0.0676797295777163,-0.075973060710874,-0.190007030628077,-0.16154174550821,-0.639960833520449,-0.549591221202019,0.361578874821828,-0.460534310407664,-0.32190533771782,-0.545086637170733,-0.340539279647903,-0.405396740944568,-0.758130308042558,-0.389707431990192,-0.430280872216046,-0.524455948495437,-0.633983491998484,-0.302784341829786,0.0714714991026692,0.043682939095302,-0.57789987066764,0.0526503338792452,0.105858671585075,-0.331128321723528,0.176383884023938,-0.093193475821435,-0.281206872924173,-0.230031879078981,0.0730185466508283,0.268364109758596,0.487729098389938
"H4K5acK8ac",0.0492527666016116,0.00100271688734027,-0.426813864151941,-0.194138941095975,-0.102508174257489,-0.174615560644106,-0.423341949159709,-0.0596815483354883,-0.0676797295777163,1,-0.0179732953922369,0.213597893082583,0.168361081463117,0.421178347956569,0.439153419325342,0.00426725655860254,0.417141742322232,0.00280155117259846,0.185225014115738,0.098531075109174,0.222665786249794,0.146379297825564,-0.0966372797218896,0.35221402865991,0.133803407259464,0.209050413542124,-0.401531110866168,-0.131575058224911,-0.23476939786727,0.265570730048299,-0.337508945187401,-0.636101224822547,0.0247125509795117,0.442661814459352,0.0024980229293294,0.587570227584892,0.600304548396146,-0.0840557624550635,0.246597949779025,-0.0871461968555135
