"","nabut_1_C2_ctrl_100_Slot1-1_1_3703","nabut_1_C3_treat_100_Slot1-1_1_3665","nabut_1_C4_ctrl_100_Slot1-1_1_3704","nabut_1_C5_treat_100_Slot1-1_1_3666","nabut_1_D2_mix_Slot1-1_1_3691","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E4_ctrl_Slot1-1_1_3707","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F4_ctrl_Slot1-1_1_3708","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G2_mix_Slot1-1_1_3694","nabut_1_G4_ctrl_Slot1-1_1_3709","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H4_ctrl_Slot1-1_1_3710","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I4_ctrl_Slot1-1_1_3711","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_J2_mix_Slot1-1_1_3697","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_1_M2_mix_Slot1-1_1_3700","nabut_1_N2_mix_Slot1-1_1_3701","nabut_1_O2_mix_Slot1-1_1_3702","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E3_mix_Slot1-1_1_3682","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F2_mix_Slot1-1_1_3642","nabut_4_F3_mix_Slot1-1_1_3683","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G3_mix_Slot1-1_1_3684","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H2_mix_Slot1-1_1_3644","nabut_4_H3_mix_Slot1-1_1_3685","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I3_mix_Slot1-1_1_3686","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_K2_mix_Slot1-1_1_3647","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651","nabut_4_control_C2_100_Slot1-1_1_3652","nabut_4_control_C4_100_Slot1-1_1_3653","nabut_4_treat_C3_100_Slot1-1_1_3655","nabut_4_treat_C5_100_Slot1-1_1_3656"
"H2A1A-K5[ac];K9[un]",0.0767036154038055,0.146656291531159,0.0911350931309892,0.136811698930702,0.0518489501869333,0.127508827875849,0.174641500029936,0.080969614046618,0.0801478260557941,0.157491878583069,0.100082628881389,0.168187017674344,0.0916188331957171,0.149319301031316,0.180595882157366,0.157265531941817,0.172015417742261,0.167346137517393,0.0970660593652432,0.0772143070490564,0.124307977837887,0.182512385787885,0.178542272138097,0.0573664948300992,0.0661918729686056,0.0668503139814393,0.156357309846137,0.10439010524883,0.152024946744774,0.105775363227911,0.136301666150714,0.0502348530313868,0.056350154732359,0.1294652508425,0.169286308850478,0.0792031835315261,0.154167524909858,0.0690931367289087,0.09310677047815,0.197295378694084,0.0273926325075474,0.0719234285336652,0.198834456536876,0.1736485840252,0.0708772206247292,0.156716544050844,0.179612079871475,0.30864854628273,0.154095373712213,0.0634191233230263,0.0595822130995216,0.177041332477455,0.170148478472575
"H2A1A-K5[un];K9[un]",0.923597882414714,0.853646077107748,0.909167270455767,0.8634900791148,0.948448964190072,0.872791962584233,0.825663780875384,0.919331710205434,0.920150123139395,0.842812373488073,0.900219841992058,0.832116213137674,0.908681467042398,0.850986123631592,0.819709755961193,0.843040369428636,0.828288042741815,0.832958705727054,0.903236230539206,0.923083466159472,0.875994283476123,0.817793367304899,0.821763242780998,0.942931750553542,0.934106901864078,0.93344850035221,0.843642690153863,0.89560989475117,0.847975053255226,0.894224636772089,0.863698333849286,0.949765146968613,0.943649845267641,0.8705347491575,0.830713691149522,0.920796816468474,0.845832475090142,0.930906863271091,0.90689322952185,0.802704621305916,0.972607367492453,0.928076571466335,0.801165543463124,0.8263514159748,0.929122779375271,0.843283455949156,0.820387920128525,0.69135145371727,0.845904626287787,0.936580876676974,0.940417786900478,0.822958667522545,0.829851521527425
"H2A1B-K13[un];K15[ac]",0.471555438284057,0.489197567084303,0.494906731059504,0.487071177083438,0.365593238166069,0.423777212222835,0.42446668254382,0.405738846635148,0.461979288503252,0.414368727298287,0.390862558743342,0.432695686267031,0.402653266502691,0.440111466652857,0.324064325287536,0.420528632369667,0.432800392278143,0.426181345262988,0.379322027828666,0.457187374337608,0.394820609102107,0.408180084733264,0.342961576191509,0.390387323257863,0.360004926105314,0.381149969963761,0.432018218748077,0.415743038472097,0.421278879253749,0.437903606413961,0.434697527983046,0.376371602396058,0.365371740599218,0.417678683276498,0.478572881345642,0.386621794735257,0.397736339419141,0.375011304601224,0.394576202093564,0.370655173838969,0.375292864147776,0.434854805130773,0.419407311090447,0.380706113486652,0.445028131942959,0.418006140269268,0.425921677332635,0.450814873195035,0.4436415282383,0.456466749632965,0.441008704260159,0.447418598907662,0.457887252154216
"H2A1B-K13[un];K15[un]",0.528867513491155,0.511224846688012,0.505523155008472,0.513350605245858,0.634814949342026,0.576645364866979,0.575958987752198,0.594684150792906,0.538454632899858,0.586053944355272,0.609556021090513,0.567729539211917,0.597765926181383,0.560321737910731,0.67633152998513,0.579898756965301,0.567624864293821,0.574244834211404,0.621093124982078,0.543245124080658,0.605596257631961,0.592240749169393,0.657439890722082,0.610028226987982,0.640401601923271,0.619262837200032,0.567981781251923,0.584256961527903,0.578721120746251,0.562096393586039,0.565302472016954,0.623628397603942,0.634628259400782,0.582321316723502,0.521427118654358,0.613378205264743,0.602263660580859,0.624988695398776,0.605423797906437,0.629344826161031,0.624707135852224,0.565145194869227,0.580592688909553,0.619293886513348,0.554971868057041,0.581993859730732,0.574078322667365,0.549185126804965,0.5563584717617,0.543533250367035,0.558991295739841,0.552581401092338,0.542112747845784
"H2AJ-K5[ac];K9[ac]",0.999696867407869,0.99775842562794,1.00000993970488,0.99767579708641,0.989591750295642,0.97541658955095,0.990931899141096,0.968955633556326,0.972928334359143,0.990096085701613,0.978971055906991,0.978590916719739,0.98712730847735,0.968773237075633,0.987420047568184,0.961367287246259,0.977509990866237,0.987059813073863,0.981084545158903,0.97752715382184,0.981178274857223,0.986905049424132,0.982349713546154,0.994500258850204,0.98849457669799,0.98871245904579,0.978653006821211,0.980197954455955,0.991884981203192,0.992792933771495,0.982550225502255,0.991094016033528,0.987175632361427,0.986362180220585,0.963220972403763,0.988819875776398,0.984935069934865,0.980154107223493,0.990195526004395,0.99119240768002,0.991261277033866,0.994909913164437,0.974425595436568,0.977536908852844,0.978382939780928,0.990323294455785,0.99119523120597,0.981441775092182,0.987447849576068,0.990402649159227,0.99065155482679,0.985658952128533,0.985268574648662
"H2AJ-K5[ac];T6[ac];K9[un]",0.949787464873619,0.918066535397584,0.935898369289117,0.91977847247435,0.873526353373223,0.892427101794809,0.86968437642399,0.897250020851218,0.872555265643189,0.923968751924886,0.906327797522611,0.880473393707488,0.946179042272495,0.891046582599187,0.877045195615196,0.851947526504306,0.8806058339054,0.861622950047048,0.929492842140577,0.872685224062625,0.887410185882243,0.934207008767465,0.919354737492034,0.922508725112079,0.912236025791747,0.954973519623613,0.896377432308468,0.877115872893745,0.860666559330221,0.936021816410264,0.869119486734943,0.926984620164673,0.92649869646728,0.849870896348211,0.861022644632244,0.91988685565681,0.87708408477925,0.926327442454223,0.941461598468194,0.882059209871157,0.90574659672851,0.946674141445259,0.894743447850941,0.883601249495464,0.908226227449944,0.926684300041763,0.883305441481371,0.844032465782144,0.893590849636824,0.930594812936368,0.932097628560116,0.90477837421876,0.913101151992084
"H2AJ-K5[un];K9[un]",0.000430664764683845,0.00236228868646004,0.000118279354338344,0.0024447359393738,0.0105385945855775,0.024681372313952,0.00920138605258857,0.0311307177256968,0.0271641682257835,0.0100353657012335,0.0211372694052129,0.0215140096803143,0.0129976293708962,0.0313127140249862,0.0127055325552844,0.0387024150573175,0.0225925639616052,0.0130649766881639,0.0190284171895624,0.0225754386618583,0.0189336106962979,0.0132194007834566,0.0177647421664883,0.00564085539363973,0.0116333609631538,0.011415956653436,0.0213469931787889,0.0198020455440448,0.00811501879680798,0.00720706622850486,0.017449774497745,0.00890598396647159,0.0128243676385726,0.0136378197794151,0.036779027596237,0.0111801242236025,0.0150649300651346,0.0198458927765074,0.00980447399560489,0.00880759231997995,0.00873872296613382,0.00509008683556344,0.025574404563432,0.0224630911471565,0.0216170602190719,0.00967670554421523,0.00880476879403006,0.018558224907818,0.0125521504239325,0.00959735084077254,0.00934844517321002,0.0143410478714671,0.0147314253513384
"H2AX-K5[un];K9[un]",0.0504848576759054,0.0822042967951616,0.0643704679318334,0.080492789311754,0.126736740571433,0.107843969947607,0.130577753415267,0.103015791463316,0.127710819462196,0.0763070000313719,0.0939402927685017,0.119794678372342,0.0541022831323098,0.109217673025031,0.12321878134746,0.148306917605792,0.119662271408963,0.138637156858496,0.0707810611850446,0.127580893654515,0.112856392070272,0.0660713123761752,0.0809198566237976,0.0777666604651628,0.0880367819551204,0.0453100126666598,0.103622567691532,0.122884127106255,0.139333440669779,0.0639781835897358,0.130880513265057,0.073015379835327,0.0735013035327201,0.150129103651789,0.138977355367756,0.08011314434319,0.12291591522075,0.0736725575457773,0.0585384015318063,0.117940790128843,0.0942534032714902,0.0533258585547408,0.105256552149059,0.116398750504536,0.0917737725500562,0.0733156999582367,0.116694558518629,0.155967534217856,0.106409150363176,0.0694051870636322,0.067902371439884,0.09522162578124,0.0868988480079162
"H31-K18[ac];K23[ac]",0.0260449720417937,0.0433273953799447,0.0277382899834428,0.0438430338022122,0.0323090970297998,0.0828477843304306,0.0446385869830158,0.179062154180531,0.103106723636142,0.0429157010869767,0.0500579857477608,0.111617201739341,0.0364743058533184,0.0797946752430343,0.0426933257059707,0.0870577473636552,0.0555266091146117,0.0419661871737749,0.0387010201530674,0.0391531206279303,0.0304841671209899,0.0429010436580365,0.0369285572933701,0.0278563261593358,0.0307899252284409,0.0320212554650557,0.0629524613302487,0.0317687685209098,0.0507737168139179,0.0357142645044009,0.0620398775474729,0.0374055325601919,0.0177250774418094,0.0301825942685688,0.109965355110121,0.0227699434817239,0.0473528081335203,0.0342874945180003,0.0330155896605902,0.126319337598485,0.0422380537639917,0.00882360884934663,0.0782959391804191,0.0406470986765809,0.0307693962748673,0.0901126341756319,0.0312473403834668,0.037085110849534,0.0279435888664439,0.0385888586350964,0.0275993417468175,0.125803650739444,0.105603340204907
"H31-K18[ac];K23[un]",0.113766175543892,0.175279589176292,0.11475008596252,0.154567476465344,0.0509284273690795,0.112021156578728,0.0553236724608183,0.105523699661509,0.120450810644246,0.0550142469517846,0.106939400185601,0.124152371613435,0.0547357427029567,0.117444438055416,0.0474707860145227,0.112266121944647,0.193822393664586,0.0519173015197597,0.0941022245000876,0.133491615261479,0.0489730418787966,0.0512874474938283,0.0507134469220492,0.0578658199697886,0.0478547294431562,0.0474298376609,0.205220721615403,0.149801378634625,0.141571219316598,0.138579066675139,0.12627192573016,0.144027886539633,0.0753645849331673,0.146177008888332,0.0814018807225934,0.0885911812552028,0.0797370748773787,0.0468538256419411,0.0607483567322375,0.0962314333888482,0.0481682406495549,0.038263176708901,0.103764727350858,0.0688297300359968,0.0374664845001294,0.120709291298568,0.0824648704667895,0.0936588593406758,0.0851868451003274,0.0773978166983643,0.0649804434305166,0.144989092000808,0.126291919929045
