"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494","nabut_1_C2_ctrl_100_Slot1-1_1_3703","nabut_1_C3_treat_100_Slot1-1_1_3665","nabut_1_C4_ctrl_100_Slot1-1_1_3704","nabut_1_C5_treat_100_Slot1-1_1_3666","nabut_1_D2_mix_Slot1-1_1_3691","nabut_1_D3_mix_Slot1-1_1_3720","nabut_1_D5_treat_Slot1-1_1_3713","nabut_1_E2_mix_Slot1-1_1_3692","nabut_1_E3_mix_Slot1-1_1_3721","nabut_1_E4_ctrl_Slot1-1_1_3707","nabut_1_E5_treat_Slot1-1_1_3714","nabut_1_F2_mix_Slot1-1_1_3693","nabut_1_F3_mix_Slot1-1_1_3722","nabut_1_F4_ctrl_Slot1-1_1_3708","nabut_1_F5_treat_Slot1-1_1_3715","nabut_1_G2_mix_Slot1-1_1_3694","nabut_1_G3_mix_Slot1-1_1_3723","nabut_1_G4_ctrl_Slot1-1_1_3709","nabut_1_G5_treat_Slot1-1_1_3716","nabut_1_H2_mix_Slot1-1_1_3695","nabut_1_H4_ctrl_Slot1-1_1_3710","nabut_1_H5_treat_Slot1-1_1_3717","nabut_1_I2_mix_Slot1-1_1_3696","nabut_1_I4_ctrl_Slot1-1_1_3711","nabut_1_I5_treat_Slot1-1_1_3718","nabut_1_J2_mix_Slot1-1_1_3697","nabut_1_K2_mix_Slot1-1_1_3698","nabut_1_L2_mix_Slot1-1_1_3699","nabut_1_M2_mix_Slot1-1_1_3700","nabut_1_N2_mix_Slot1-1_1_3701","nabut_1_O2_mix_Slot1-1_1_3702","nabut_4_control_C2_100_Slot1-1_1_3652","nabut_4_control_C4_100_Slot1-1_1_3653","nabut_4_D2_mix_Slot1-1_1_3640","nabut_4_D5_treat_Slot1-1_1_3675","nabut_4_E2_mix_Slot1-1_1_3641","nabut_4_E3_mix_Slot1-1_1_3682","nabut_4_E5_treat_Slot1-1_1_3676","nabut_4_F2_mix_Slot1-1_1_3642","nabut_4_F3_mix_Slot1-1_1_3683","nabut_4_F5_treat_Slot1-1_1_3677","nabut_4_G2_mix_Slot1-1_1_3643","nabut_4_G3_mix_Slot1-1_1_3684","nabut_4_G5_treat_Slot1-1_1_3678","nabut_4_H2_mix_Slot1-1_1_3644","nabut_4_H3_mix_Slot1-1_1_3685","nabut_4_H5_treat_Slot1-1_1_3679","nabut_4_I2_mix_Slot1-1_1_3645","nabut_4_I3_mix_Slot1-1_1_3686","nabut_4_I5_treat_Slot1-1_1_3680","nabut_4_J2_mix_Slot1-1_1_3646","nabut_4_K2_mix_Slot1-1_1_3647","nabut_4_L2_mix_Slot1-1_1_3648","nabut_4_M2_mix_Slot1-1_1_3649","nabut_4_N2_mix_Slot1-1_1_3650","nabut_4_O2_mix_Slot1-1_1_3651","nabut_4_treat_C3_100_Slot1-1_1_3655","nabut_4_treat_C5_100_Slot1-1_1_3656"
"H1-K25[me]",0.148989431263927,0.183607940361207,0.201674835457219,0.234639703102986,0.120496594194467,0.192093545979427,0.29067553384171,0.181936672734219,0.33016289321094,0.248267974939503,0.234361226785009,0.166000537527201,0.255817550993348,0.215022116366111,0.0836034266382932,0.0759073688651153,0.078029597400328,0.0147587091392117,0.307059188100403,0.69344584617974,0.127416657549662,0.111707293216798,0.00319742807243619,0.155152583959515,0.118407760982136,0.373457057401128,0.153561445284191,0.960861959282282,0.904232634656833,0.928591248331971,0.891118740982274,0.899334656773286,0.863419094725467,0.804676418908906,0.890080632068835,0.876751384815901,0.857182378883302,0.771324420368805,0.840835629746855,0.931993365206362,0.877989649281479,0.832677683646445,0.924680687986547,0.85387876452128,0.873695482512659,0.769882908232731,0.832390808846178,0.85798799711323,0.883845659449037,0.877028107672278,0.872388176788796,0.912144288577154,0.894228379315307,0.874166657514086,0.890518514055015,0.947126391987607,0.938746514959666,0.943611657355933,0.937009608856985,0.946522562498259,0.855321056845476,0.899831923473305,0.867264795456416,0.86322617722943,0.887630993771269,0.94173953477822,0.91386432345379,0.921146748486523,0.819892490805135,0.872809932994018,0.871395899979963,0.941127043070501,0.897596850071023,0.8259420529118,0.969530439398692,0.93876049070823,0.820131564812416,0.854205334941145,0.928126979685271,0.870457511170865,0.841517153646475,0.780686828271187,0.85707836248813,0.826308449722843,0.835903458256127
"H1-K25[un]",0.851010568736074,0.816392059638793,0.798325164542781,0.765360296897014,0.879503405805533,0.807906454020573,0.70932446615829,0.818063327265781,0.66983710678906,0.751732025060497,0.765638773214991,0.833999462472799,0.744182449006652,0.784977883633889,0.916396573361707,0.924092631134885,0.921970402599672,0.985241290860788,0.692940811899597,0.30655415382026,0.872583342450338,0.888292706783202,0.996802571927564,0.844847416040485,0.881592239017864,0.626542942598872,0.846438554715809,0.0391380407177184,0.0957673653431667,0.0714087516680294,0.108881259017727,0.100665343226714,0.136580905274533,0.195323581091094,0.109919367931165,0.123248615184099,0.142817621116698,0.228675579631195,0.159164370253145,0.0680066347936384,0.122010350718521,0.167322316353555,0.0753193120134531,0.14612123547872,0.126304517487341,0.230117091767269,0.167609191153822,0.14201200288677,0.116154340550963,0.122971892327722,0.127611823211204,0.0878557114228457,0.105771620684693,0.125833342485914,0.109481485944985,0.0528736080123927,0.0612534850403343,0.0563883426440669,0.0629903911430154,0.0534774375017406,0.144678943154524,0.100168076526695,0.132735204543584,0.13677382277057,0.112369006228731,0.0582604652217799,0.0861356765462097,0.0788532515134768,0.180107509194865,0.127190067005983,0.128604100020037,0.0588729569294988,0.102403149928977,0.1740579470882,0.0304695606013078,0.0612395092917701,0.179868435187584,0.145794665058855,0.0718730203147287,0.129542488829135,0.158482846353525,0.219313171728813,0.14292163751187,0.173691550277157,0.164096541743873
"H1-K31[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H1.2-K33[ac]",0.166825621858487,0.0378920602246885,0.168807380436482,0.0956836738170132,0.164768946395564,0.19072246140922,0.33490395839966,0.167413351713273,0.246773948686807,0.272386058981233,0.201519213583557,0.286249717769248,0.30213872149356,0.187993768777123,0.0147200421828074,0.921393972012917,0.0192807186891148,0.0924718512568028,0.052272490899636,0.0292941153057772,0.0238917737487532,0.0163028641937562,0.00513860786799848,0.109999508784569,0.0334893808352509,0.0156126931895752,0.0893768916202666,0.0271086522071918,0.00502183172324665,0.0254179902695628,0.0180034581404724,0.857374787181843,0.827788185292923,0.869106585947533,0.836569853531479,0.762858451227043,0.661885960471996,0.821859605704839,0.883329321136254,0.72772067488616,0.758638058686998,0.801430279821062,0.802916024495697,0.826808555512822,0.733881331743844,0.912216782420585,0.870286764959774,0.780531695629885,0.82809303102426,0.863147867715305,0.819121958628396,0.851369622041887,0.894825124790329,0.855414570183604,0.832589757685964,0.792649860503614,0.864163110023039,0.82298674944739,0.0363753978502883,0.00497508406941153,0.304489782524877,0.179462069664173,0.283967157677538,0.0386197973476158,0.160348107955747,0.229532144588416,0.0395529647482432,0.12771591072026,0.438191446915013,0.114061026690357,0.17007503120938,0.265309725763279,0.0944888594116909,0.199085386357013,0.107120928415209,0.107725431522096,0.151885168433133,0.179783783211714,0.16747332625632,0.189514818601923,0.108816170338027,0.257791751288861,0.128999358457666,0.0119939129570927,0.0437311031401522
"H1.2-K33[un]",0.833174378141513,0.962107939775312,0.831192619563518,0.904316326182987,0.835231053604436,0.80927753859078,0.66509604160034,0.832586648286727,0.753226051313193,0.727613941018767,0.798480786416443,0.713750282230752,0.69786127850644,0.812006231222878,0.985279957817193,0.0786060279870829,0.980719281310885,0.907528148743197,0.947727509100364,0.970705884694223,0.976108226251247,0.983697135806244,0.994861392132002,0.890000491215431,0.966510619164749,0.984387306810425,0.910623108379733,0.972891347792808,0.994978168276753,0.974582009730437,0.981996541859528,0.142625212818157,0.172211814707077,0.130893414052467,0.163430146468521,0.237141548772957,0.338114039528004,0.178140394295161,0.116670678863746,0.27227932511384,0.241361941313002,0.198569720178938,0.197083975504303,0.173191444487178,0.266118668256156,0.0877832175794148,0.129713235040226,0.219468304370115,0.17190696897574,0.136852132284695,0.180878041371604,0.148630377958113,0.105174875209671,0.144585429816396,0.167410242314036,0.207350139496386,0.135836889976961,0.17701325055261,0.963624602149712,0.995024915930589,0.695510217475123,0.820537930335827,0.716032842322462,0.961380202652384,0.839651892044253,0.770467855411584,0.960447035251757,0.87228408927974,0.561808553084987,0.885938973309643,0.82992496879062,0.734690274236721,0.905511140588309,0.800914613642987,0.892879071584791,0.892274568477904,0.848114831566867,0.820216216788286,0.83252667374368,0.810485181398077,0.891183829661973,0.742208248711139,0.871000641542334,0.988006087042907,0.956268896859848
"H1.2-K45[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H1.2-K51[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H1.5-K33[ac]",0.096947496947497,0.186693297253184,0.293230809106225,0.214252823749289,0.135322692574601,0.371458395466746,0.246593479340211,0.299727204132567,0.281101517396413,0.302873906665942,0.206686712485682,0.139839545039098,0.182287308228731,0.131534030296565,0.0067689804423923,0.359480436734339,0.698357327193604,0.932948165025633,0.770555778703254,0.807617481241911,0.847800813487197,0.841262182765608,0.811557946087935,0.768877132429909,0.853592334608718,0.84649732338613,0.790178526678762,0.71073516718423,0.796727400693975,0.824563971166319,0.793977256155509,0.583529634958026,0.640959280313733,0.550095770440062,0.749528081677391,0.625956057177232,0.676806682953739,0.683610439079631,0.469734012242422,0.585806263210591,0.606386344353528,0.711224464891514,0.765298816791017,0.474813679369946,0.682546758163451,0.496655993634073,0.61487899138368,0.574047848723053,0.811532248853791,0.650431266846361,0.576841904959607,0.506028628561247,0.718110321051498,0.353383458646617,0.758310658937655,0.691599937195792,0.576093340119807,0.684292946953917,0.801837054534415,0.814927645812852,0.733624091381101,0.613668965788284,0.825779299983037,0.699969529836999,0.673853570948883,0.814100305159215,0.765737000236308,0.677583100103516,0.721475310985551,0.649088253002208,0.664388465173108,0.79190046932008,0.752106295090705,0.741942172126513,0.741778430611916,0.772473757160901,0.771021763979348,0.810622562718492,0.807279752521601,0.788362976236121,0.825731566511955,0.747556008146639,0.778416585968417,0.813920934336633,0.828846129044739
"H1.5-K33[un]",0.903052503052503,0.813306702746816,0.706769190893775,0.785747176250711,0.864677307425399,0.628541604533254,0.753406520659789,0.700272795867433,0.718898482603587,0.697126093334058,0.793313287514318,0.860160454960902,0.817712691771269,0.868465969703435,0.993231019557608,0.640519563265661,0.301642672806396,0.0670518349743673,0.229444221296747,0.192382518758089,0.152199186512803,0.158737817234392,0.188442053912065,0.231122867570091,0.146407665391282,0.15350267661387,0.209821473321238,0.28926483281577,0.203272599306025,0.175436028833681,0.206022743844491,0.416470365041974,0.359040719686267,0.449904229559938,0.250471918322609,0.374043942822768,0.323193317046261,0.316389560920369,0.530265987757578,0.414193736789409,0.393613655646472,0.288775535108486,0.234701183208983,0.525186320630054,0.317453241836549,0.503344006365927,0.38512100861632,0.425952151276947,0.188467751146209,0.349568733153639,0.423158095040393,0.493971371438753,0.281889678948502,0.646616541353383,0.241689341062345,0.308400062804208,0.423906659880193,0.315707053046083,0.198162945465585,0.185072354187148,0.266375908618899,0.386331034211716,0.174220700016963,0.300030470163001,0.326146429051117,0.185899694840785,0.234262999763692,0.322416899896484,0.278524689014449,0.350911746997792,0.335611534826892,0.208099530679921,0.247893704909295,0.258057827873487,0.258221569388084,0.227526242839099,0.228978236020652,0.189377437281508,0.192720247478399,0.211637023763879,0.174268433488045,0.25244399185336,0.221583414031583,0.186079065663367,0.171153870955261
"H1.5-K45[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
