"ptm","replicate","multiplier","CV"
"H1-K25[me];K31[un]","1","1",0.00452042836654859
"H1-K25[me];K31[un]","1","2",0.00182391047157883
"H1-K25[me];K31[un]","1","4",0.00587310003600939
"H1-K25[me];K31[un]","1","8",0.00241409338237321
"H1-K25[me];K31[un]","2","1",0.0497202045562896
"H1-K25[me];K31[un]","2","2",0.00626857101803702
"H1-K25[me];K31[un]","2","4",0.00168072729375667
"H1-K25[me];K31[un]","2","8",0.003388126823755
"H1-K25[me];K31[un]","3","1",0.0192136048190047
"H1-K25[me];K31[un]","3","2",0.00736838535061227
"H1-K25[me];K31[un]","3","4",0.00236258119098367
"H1-K25[me];K31[un]","3","8",0.00353541037916316
"H1-K25[un];K31[un]","1","1",0.0995845791294306
"H1-K25[un];K31[un]","1","2",0.0436852883586771
"H1-K25[un];K31[un]","1","4",0.129830436850816
"H1-K25[un];K31[un]","1","8",0.0459390808449764
"H1-K25[un];K31[un]","2","1",0.419547053719829
"H1-K25[un];K31[un]","2","2",0.132834133624115
"H1-K25[un];K31[un]","2","4",0.0465833395415921
"H1-K25[un];K31[un]","2","8",0.108723771622037
"H1-K25[un];K31[un]","3","1",0.236427772967203
"H1-K25[un];K31[un]","3","2",0.138650106203971
"H1-K25[un];K31[un]","3","4",0.0528505287567707
"H1-K25[un];K31[un]","3","8",0.0879160151716419
"H1.5-K33[ac];K45[un];K51[un]","1","1",0.028430568958281
"H1.5-K33[ac];K45[un];K51[un]","1","2",0.00327207863276104
"H1.5-K33[ac];K45[un];K51[un]","1","4",0.0111158434371547
"H1.5-K33[ac];K45[un];K51[un]","1","8",0.0183497531632437
"H1.5-K33[ac];K45[un];K51[un]","2","1",0.0354548161793677
"H1.5-K33[ac];K45[un];K51[un]","2","2",0.0221822632731045
"H1.5-K33[ac];K45[un];K51[un]","2","4",0.0113879607217468
"H1.5-K33[ac];K45[un];K51[un]","2","8",0.00501640573337467
"H1.5-K33[ac];K45[un];K51[un]","3","1",0.00970572891762227
"H1.5-K33[ac];K45[un];K51[un]","3","2",0.0262950686157213
"H1.5-K33[ac];K45[un];K51[un]","3","4",0.039112467829167
"H1.5-K33[ac];K45[un];K51[un]","3","8",0.0295152493040275
"H1.5-K33[un];K45[un];K51[un]","1","1",0.118884565299267
"H1.5-K33[un];K45[un];K51[un]","1","2",0.0271573888714597
"H1.5-K33[un];K45[un];K51[un]","1","4",0.0864915777129169
"H1.5-K33[un];K45[un];K51[un]","1","8",0.167464871503568
"H1.5-K33[un];K45[un];K51[un]","2","1",0.164626461752385
"H1.5-K33[un];K45[un];K51[un]","2","2",0.142774832616215
"H1.5-K33[un];K45[un];K51[un]","2","4",0.0833241137040625
"H1.5-K33[un];K45[un];K51[un]","2","8",0.0377174862258936
"H1.5-K33[un];K45[un];K51[un]","3","1",0.0468712744621822
"H1.5-K33[un];K45[un];K51[un]","3","2",0.163903286987614
"H1.5-K33[un];K45[un];K51[un]","3","4",0.288008619901279
"H1.5-K33[un];K45[un];K51[un]","3","8",0.245367907581558
"H2A1A-K5[ac];K9[un]","1","1",0.0549085703450299
"H2A1A-K5[ac];K9[un]","1","2",0.0224268753063603
"H2A1A-K5[ac];K9[un]","1","4",0.0441954005831749
"H2A1A-K5[ac];K9[un]","1","8",0.0486873984539285
"H2A1A-K5[ac];K9[un]","2","1",0.159837975442542
"H2A1A-K5[ac];K9[un]","2","2",0.0565543248258327
"H2A1A-K5[ac];K9[un]","2","4",0.050065320398819
"H2A1A-K5[ac];K9[un]","2","8",0.228257586130192
"H2A1A-K5[ac];K9[un]","3","1",0.153908517705836
"H2A1A-K5[ac];K9[un]","3","2",0.079657450289982
