"","1_D3_Slot1-1_1_1321","1_D4_Slot1-1_1_1300","1_E3_Slot1-1_1_1322","1_E4_Slot1-1_1_1301","1_F3_Slot1-1_1_1323","1_F4_Slot1-1_1_1302","1_G3_Slot1-1_1_1325","1_G4_Slot1-1_1_1305","1_H2_Slot1-1_1_1341","1_H3_Slot1-1_1_1326","1_H4_Slot1-1_1_1306","1_I2_Slot1-1_1_1342","1_I3_Slot1-1_1_1327","1_I4_Slot1-1_1_1307","100_C2_Slot1-1_1_1339","100_C3_Slot1-1_1_1319","100_C4_Slot1-1_1_1298","auto_2_C3_100cell_Slot1-1_1_3400","auto_2_E2_1cell_Slot1-1_1_3420","auto_2_E3_1cell_Slot1-1_1_3418","auto_2_F2_1cell_Slot1-1_1_3421","auto_2_F3_1cell_Slot1-1_1_3419","auto_4_C4_100cell_Slot1-1_1_3505","auto_4_D3_1cell_Slot1-1_1_3495","auto_4_D4_1cell_Slot1-1_1_3492","auto_4_E4_1cell_Slot1-1_1_3493","auto_4_F4_1cell_Slot1-1_1_3494"
"H1-K25[me];K31[un]",0.159091070446039,0.19370957954332,0.211776474639331,0.244741342285099,0.130598233376579,0.20219518516154,0.300777173023822,0.192038311916331,0.340264532393052,0.258369614121616,0.244462865967121,0.176102176709314,0.265919190175461,0.225123755548223,0.0937050658204056,0.0860090080472277,0.0881312365824404,-0.0353532523004853,0.256947226660706,0.643333884740043,0.0773046961099646,0.0615953317771014,0.0432077503300208,0.1951629062171,0.15841808323972,0.413467379658713,0.193571767541776
"H1-K25[un];K31[un]",0.840908929553961,0.80629042045668,0.788223525360669,0.755258657714902,0.869401766623421,0.79780481483846,0.699222826976178,0.807961688083669,0.659735467606948,0.741630385878384,0.755537134032879,0.823897823290686,0.734080809824539,0.774876244451777,0.906294934179594,0.913990991952772,0.91186876341756,1.03535325230049,0.743052773339294,0.356666115259957,0.922695303890035,0.938404668222899,0.956792249669979,0.8048370937829,0.84158191676028,0.586532620341287,0.806428232458224
"H1.5-K33[ac];K45[un];K51[un]",0.485471147945635,0.575216948251322,0.681754460104363,0.602776474747427,0.523846343572739,0.759982046464884,0.635117130338348,0.688250855130705,0.669625168394551,0.69139755766408,0.595210363483819,0.528363196037236,0.570810959226869,0.520057681294703,0.39529263144053,0.748004087732477,1.08688097819174,0.725738223723349,0.56334583740097,0.600407539939627,0.640590872184914,0.634052241463325,0.630244236392081,0.587563422734055,0.672278624912864,0.665183613690276,0.608864816982908
"H1.5-K33[un];K45[un];K51[un]",0.514528852054365,0.424783051748678,0.318245539895637,0.397223525252573,0.476153656427261,0.240017953535116,0.364882869661652,0.311749144869295,0.330374831605449,0.30860244233592,0.404789636516181,0.471636803962764,0.429189040773131,0.479942318705297,0.60470736855947,0.251995912267523,-0.0868809781917417,0.274261776276651,0.43665416259903,0.399592460060373,0.359409127815086,0.365947758536675,0.369755763607919,0.412436577265945,0.327721375087136,0.334816386309724,0.391135183017092
"H2A1A-K5[ac];K9[un]",0.0663475805694223,0.0500642516218521,0.0577051217785854,0.0637813071771041,0.055866110350828,0.0727051211704396,0.0609249361933899,0.0668111049113048,0.0623954609272397,0.0639175697088201,0.0271399913557293,0.0525145860357294,0.0671946619068246,0.0821512317394372,0.108438222154844,0.0830972278786004,0.0902645537436781,0.0825483780225159,0.0547958155711805,0.065657102219642,0.0848283913674026,0.0449112067086204,0.0650481976809446,0.0777954112062031,0.0794755349360226,0.0505690117367386,0.0598527383294525
"H2A1A-K5[un];K9[un]",0.933652419430578,0.949935748378148,0.942294878221415,0.936218692822896,0.944133889649172,0.92729487882956,0.93907506380661,0.933188895088695,0.93760453907276,0.93608243029118,0.972860008644271,0.947485413964271,0.932805338093175,0.917848768260563,0.891561777845157,0.9169027721214,0.909735446256322,0.917451621977484,0.945204184428819,0.934342897780358,0.915171608632597,0.95508879329138,0.934951802319055,0.922204588793797,0.920524465063977,0.949430988263261,0.940147261670548
"H2A1B-K13[un];K15[ac]",0.458065435079349,0.629657903874177,0.442879519345435,0.459001159458543,0.513998962021443,0.488349101736691,0.465032988759674,0.565603464826948,0.482845388440282,0.465544377960321,0.504682518161095,0.552322506235716,0.390130661166276,0.442423239151195,0.464469599865112,0.485733670830937,0.512091663845276,0.353945581760943,0.571191560526782,0.400097899270754,0.573461692303346,0.54919507812596,0.617668160579854,0.444149860733667,0.485944091710121,0.462827909741362,0.437301789222782
"H2A1B-K13[un];K15[un]",0.541934564920651,0.370342096125823,0.557120480654565,0.540998840541457,0.486001037978558,0.511650898263309,0.534967011240326,0.434396535173052,0.517154611559718,0.534455622039679,0.495317481838905,0.447677493764284,0.609869338833724,0.557576760848805,0.535530400134888,0.514266329169063,0.487908336154724,0.646054418239057,0.428808439473218,0.599902100729246,0.426538307696654,0.45080492187404,0.382331839420146,0.555850139266333,0.514055908289879,0.537172090258638,0.562698210777218
"H2AJ-K5[ac];K9[ac]",0.960975003321796,0.985671543652103,0.973387429805574,0.942911901666227,0.940556304884744,0.953590743992359,0.962376074701897,0.966546174829383,0.923677439266893,0.932534194566714,0.971332330095854,0.955917592440807,0.941687254408363,0.99533124414155,0.999289451553714,1.00517158900046,0.976587881603818,0.965482317047986,0.956209597726456,0.962363359996288,0.964411659417862,0.971398993438542,0.968487378765787,0.960795160288698,0.968700536284966,0.966256871360162,0.955625980927521
"H2AJ-K5[ac];K9[hib]",0.0244294883182877,-0.00521796920620076,0.0183345472268165,0.0223527267587838,0.0299331906390172,0.0161993070072697,0.027885941395703,0.0176855055714721,0.0292469295968245,0.0339057265346298,0.00970845845882955,0.0139988166273783,0.0220115143635352,0.00813164938943784,-6.86451882686186e-05,-0.00416980041004233,0.0241308981287259,0.0161069363150084,0.0174585375400821,0.0175650866917983,0.019778326490705,0.0139435497895237,0.0137084686237331,0.0141620361434791,0.0162516796543951,0.0160260322362939,0.0247042201692162
