"","H4K8ac","H4K12ac","H3K18acK23ac","H3K27meK36me2","H4K5ac","H2A1BK15ac","H3K9me2","H3K9me3K14ac","H3K9me3","H4K5acK8ac","H1.2K33ac","H3K36me2","H3K23su","H3K9meK14ac","H3K9ac","H3K4me","H3K9me2K14ac","H2A1AK5ac","H3K9acK14ac","H4K8acK12acK16ac","H4K12acK16ac","H4K5acK16ac","H4K8acK16ac","H4K5acK8acK16ac","H4K5acK8acK12acK16ac","H4K5acK12acK16ac","H3K9me","H3K27me2K36me","H3K79me","H3K14ac","H4K5acK12ac","H3K18ac","H4K5acK8acK12ac","H2AJK5acK9ac","H2AJK5acT6ac","H3K23ac","H4K8acK12ac","H1.5K33ac","H1K25me","H4K16ac"
"H4K8ac",1,0.530731707317073,0.859076923076923,1,0.965065963060686,0.351079136690647,1,1,1,1,0.514818652849741,1,1,0.938842975206612,0.514818652849741,0.0032,1,1,1,0.526633165829146,1,0.0383098591549296,1,0.661587301587302,1,0.707003610108303,0.591644444444444,0.914733893557423,1,0.457011494252874,1,0.75766323024055,1,1,0.726857142857143,1,1,0.740845070422535,0.189357798165138,0.51047619047619
"H4K12ac",,1,0.651707317073171,1,0.158415841584158,1,0.782458471760797,1,0.578348623853211,1,1,1,0.651707317073171,1,0.859076923076923,1,0.530731707317073,1,1,0.558490566037736,1,1,1,1,0.701037037037037,1,0,1,1,0.130434782608696,1,0.890207715133531,0.212869565217391,1,1,1,1,0.659277108433735,0.186153846153846,0.914733893557423
"H3K18acK23ac",,,1,1,0,0.43219512195122,0.188411214953271,1,0.989127182044888,1,0.0290909090909091,1,0.520205128205128,0.04,0.94120218579235,0.141666666666667,0.69910447761194,0.74815331010453,1,0.0305882352941176,0.913696275071633,1,0.0416438356164384,0.358356164383562,1,0.989127182044888,0.62379746835443,0.989127182044888,0,1,1,0,0.998019801980198,1,1,1,1,0.989127182044888,0,1
"H3K27meK36me2",,,,1,0.0225,0.0225,0.592413793103448,0.428957055214724,1,1,0.449882352941177,1,0.131368421052632,0.890207715133531,0.938842975206612,1,1,0.0157377049180328,1,0.968772845953003,1,0.976537467700258,0.81491961414791,1,1,0.45854748603352,1,0.971191709844559,0.248455284552846,1,0.892361516034985,0.0890909090909091,1,0.592413793103448,1,1,1,1,0.303157894736842,0.859076923076923
"H4K5ac",,,,,1,0.914733893557423,0.457142857142857,1,0.890207715133531,1,1,0.414591194968553,1,1,1,0.52807881773399,0.148686868686869,0.953945945945946,0.534106280193237,0.998019801980198,1,0.67375,1,1,0.694736842105263,1,0.00872727272727273,0.69910447761194,0.701449275362319,0.837197452229299,1,1,1,1,0.0952808988764045,1,1,1,0.414591194968553,1
"H2A1BK15ac",,,,,,1,0.651707317073171,1,1,1,1,0.965065963060686,0.740845070422535,0.740845070422535,0.989127182044888,0.534106280193237,0.890207715133531,0.620772532188841,0.989127182044888,1,0.685019011406844,0.642,0.757370242214533,1,1,0.418765432098765,1,0.788382838283828,1,1,1,1,0.592413793103448,1,0.94304347826087,1,1,1,0.909425287356322,0.387096774193548
"H3K9me2",,,,,,,1,0.439272727272727,1,1,0.801052631578947,0.701090909090909,0.821980830670926,1,1,1,1,1,1,0.771254237288135,1,1,0.968772845953003,1,1,1,1,0,0.0180645161290323,1,1,0,1,1,0.376158940397351,1,1,1,0.45854748603352,0
"H3K9me3K14ac",,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.526633165829146,0.0827586206896552,1,0.701090909090909,1,1,1,1,1,1,1,1,0.592413793103448
"H3K9me3",,,,,,,,,1,1,0.94120218579235,0.773154362416107,1,1,0.971191709844559,1,1,1,0.773154362416107,1,1,1,1,1,1,1,1,0.890207715133531,0.989127182044888,1,0.535384615384615,0.631260504201681,1,1,0.914733893557423,1,1,0.81491961414791,1,0.701090909090909
"H4K5acK8ac",,,,,,,,,,1,1,1,0.592413793103448,0.584035874439462,1,0.769523809523809,1,1,0.52807881773399,1,0.450404624277457,0.776454849498328,0.591644444444444,0.711111111111111,0.914733893557423,0.674108527131783,1,1,0.890207715133531,1,1,0.45854748603352,1,0.932,1,1,1,1,1,1
