"","100_hist_stndrd_C5_Slot1-1_1_1279","1_hist_stndrd_D5_Slot1-1_1_1281","1_hist_stndrd_E5_Slot1-1_1_1282","1_hist_stndrd_F5_Slot1-1_1_1283","1_hist_stndrd_G5_Slot1-1_1_1285","1_hist_stndrd_H5_Slot1-1_1_1286","1_hist_stndrd_I5_Slot1-1_1_1287","2_hist_stndrd_J5_Slot1-1_1_1289","2_hist_stndrd_K5_Slot1-1_1_1290","4_hist_stndrd_L5_Slot1-1_1_1292","4_hist_stndrd_M5_Slot1-1_1_1293","8_hist_stndrd_N5_Slot1-1_1_1295","8_hist_stndrd_O5_Slot1-1_1_1296","auto_2_D5_histStand_1_Slot1-1_1_3404","auto_2_E5_histStand_1_Slot1-1_1_3405","auto_2_F5_histStand_1_Slot1-1_1_3406","auto_2_G5_histStand_2_Slot1-1_1_3407","auto_2_H5_histStand_2_Slot1-1_1_3408","auto_2_I5_histStand_2_Slot1-1_1_3409","auto_2_J5_histStand_4_Slot1-1_1_3410","auto_2_K5_histStand_4_Slot1-1_1_3411","auto_2_L5_histStand_4_Slot1-1_1_3412","auto_2_M5_histStand_8_Slot1-1_1_3413","auto_2_N5_histStand_8_Slot1-1_1_3414","auto_2_O5_histStand_8_Slot1-1_1_3415","auto_4_C5_histStand_100_Slot1-1_1_3489","auto_4_D5_histStand_1_Slot1-1_1_3477","auto_4_E5_histStand_1_Slot1-1_1_3478","auto_4_F5_histStand_1_Slot1-1_1_3479","auto_4_G5_histStand_2_Slot1-1_1_3480","auto_4_H5_histStand_2_Slot1-1_1_3481","auto_4_I5_histStand_2_Slot1-1_1_3482","auto_4_J5_histStand_4_Slot1-1_1_3483","auto_4_K5_histStand_4_Slot1-1_1_3484","auto_4_L5_histStand_4_Slot1-1_1_3485","auto_4_M5_histStand_8_Slot1-1_1_3486","auto_4_N5_histStand_8_Slot1-1_1_3487","auto_4_O5_histStand_8_Slot1-1_1_3488"
"H1-K25[me]",0.804168046384891,0.935547194199712,0.943082846334096,0.946365698493424,0.939813650322013,0.939605907255487,0.952065664665566,0.945364849738033,0.948711824969131,0.937659455955521,0.948381256014056,0.932615786828063,0.936976258977284,0.803888868856597,0.863684720032018,0.919615177247607,0.925179371800096,0.939499133556249,0.938674740738611,0.949559600704639,0.946400939289152,0.945341781188649,0.952049148404306,0.949023114640929,0.957797342869012,0.939415296931784,0.903294187817873,0.89153748141856,0.937138085713731,0.942933231881301,0.949555872606775,0.930967250063533,0.947511721544583,0.950620921515849,0.95363131533101,0.950796583072885,0.956834988940185,0.959845511668325
"H1-K25[un]",0.195831953615109,0.0644528058002882,0.0569171536659044,0.0536343015065758,0.0601863496779867,0.0603940927445127,0.0479343353344338,0.0546351502619673,0.051288175030869,0.0623405440444786,0.0516187439859436,0.0673842131719373,0.0630237410227156,0.196111131143403,0.136315279967982,0.0803848227523925,0.0748206281999043,0.0605008664437506,0.0613252592613885,0.0504403992953611,0.0535990607108477,0.0546582188113511,0.0479508515956936,0.0509768853590705,0.0422026571309876,0.0605847030682157,0.0967058121821274,0.10846251858144,0.0628619142862691,0.0570667681186989,0.0504441273932253,0.0690327499364665,0.0524882784554167,0.0493790784841509,0.0463686846689895,0.0492034169271155,0.0431650110598153,0.0401544883316746
"H1-K31[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H1.5-K33[ac]",0.90662647041796,0.745187792215835,0.751202660381623,0.729209584136602,0.784087962242622,0.734419881689124,0.801765060810271,0.846055204693361,0.851422865066341,0.832699104434042,0.850754378784243,0.873687375082523,0.843177833655913,0.758659171202139,0.832079993388976,0.805078334197574,0.843409915356711,0.81696360241222,0.866602074599246,0.868358960788051,0.862509887495015,0.843446442893913,0.857666762976853,0.856712847431374,0.867153529617562,0.838158085777513,0.825780525502318,0.806797200884411,0.809258009400291,0.85563181018428,0.818025880564992,0.875882317453295,0.895504262771793,0.898400488301777,0.819419651439337,0.848292511828535,0.881876298187136,0.917467450856642
"H1.5-K33[un]",0.0933735295820405,0.254812207784165,0.248797339618377,0.270790415863399,0.215912037757378,0.265580118310876,0.19823493918973,0.153944795306639,0.148577134933659,0.167300895565958,0.149245621215757,0.126312624917477,0.156822166344087,0.241340828797861,0.167920006611024,0.194921665802426,0.156590084643289,0.18303639758778,0.133397925400754,0.131641039211949,0.137490112504985,0.156553557106087,0.142333237023147,0.143287152568626,0.132846470382438,0.161841914222487,0.174219474497682,0.193202799115589,0.190741990599709,0.14436818981572,0.181974119435008,0.124117682546705,0.104495737228207,0.101599511698223,0.180580348560663,0.151707488171465,0.118123701812864,0.0825325491433577
"H1.5-K45[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H1.5-K51[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"H2A1A-K5[ac]",0.158155157415944,0.0602229892772354,0.0534727946942258,0.054196163387959,0.0540843118278433,0.0539759043560825,0.0519572612716209,0.0569345690206102,0.0552420352803219,0.062590662380271,0.0589473761177782,0.0681761931700736,0.0637832789849067,0.057839861017381,0.0758873324540865,0.0559845876565316,0.0537543990781401,0.0586872407265546,0.0522120092543829,0.048239621381181,0.0536539916010118,0.0522187849423857,0.0520584517925973,0.0779567435963127,0.0516861574684661,0.0642112383808636,0.0901786028116151,0.0732615499186051,0.066090882228993,0.0519020364020337,0.0542090211247545,0.0608140533014309,0.0620136070661256,0.052366060476173,0.0508895514346705,0.0541748007220283,0.0492867340939903,0.0517438434096123
"H2A1A-K5[un]",0.841844842584056,0.939777010722765,0.946527205305774,0.945803836612041,0.945915688172157,0.946024095643918,0.948042738728379,0.94306543097939,0.944757964719678,0.937409337619729,0.941052623882222,0.931823806829926,0.936216721015093,0.942160138982619,0.924112667545914,0.944015412343468,0.94624560092186,0.941312759273445,0.947787990745617,0.951760378618819,0.946346008398988,0.947781215057614,0.947941548207403,0.922043256403687,0.948313842531534,0.935788761619136,0.909821397188385,0.926738450081395,0.933909117771007,0.948097963597966,0.945790978875246,0.939185946698569,0.937986392933874,0.947633939523827,0.94911044856533,0.945825199277972,0.95071326590601,0.948256156590388
"H2A1A-K9[un]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
