,H4K8ac,H4K12ac,H3K18acK23ac,H3K27meK36me2,H4K5ac,H2A1BK15ac,H3K9me2,H3K9me3K14ac,H3K9me3,H4K5acK8ac,H1.2K33ac,H3K36me2,H3K23su,H3K9meK14ac,H3K9ac,H3K4me,H3K9me2K14ac,H2A1AK5ac,H3K9acK14ac,H4K8acK12acK16ac,H4K12acK16ac,H4K5acK16ac,H4K8acK16ac,H4K5acK8acK16ac,H4K5acK8acK12acK16ac,H4K5acK12acK16ac,H3K9me,H3K27me2K36me,H3K79me,H3K14ac,H4K5acK12ac,H3K18ac,H4K5acK8acK12ac,H2AJK5acK9ac,H2AJK5acT6ac,H3K23ac,H4K8acK12ac,H1.5K33ac,H1K25me,H4K16ac
H4K8ac,1,0.530731707,0.859076923,1,0.965065963,0.351079137,1,1,1,1,0.514818653,1,1,0.938842975,0.514818653,0.0032,1,1,1,0.526633166,1,0.038309859,1,0.661587302,1,0.70700361,0.591644444,0.914733894,1,0.457011494,1,0.75766323,1,1,0.726857143,1,1,0.74084507,0.189357798,0.51047619
H4K12ac,,1,0.651707317,1,0.158415842,1,0.782458472,1,0.578348624,1,1,1,0.651707317,1,0.859076923,1,0.530731707,1,1,0.558490566,1,1,1,1,0.701037037,1,0,1,1,0.130434783,1,0.890207715,0.212869565,1,1,1,1,0.659277108,0.186153846,0.914733894
H3K18acK23ac,,,1,1,0,0.432195122,0.188411215,1,0.989127182,1,0.029090909,1,0.520205128,0.04,0.941202186,0.141666667,0.699104478,0.74815331,1,0.030588235,0.913696275,1,0.041643836,0.358356164,1,0.989127182,0.623797468,0.989127182,0,1,1,0,0.998019802,1,1,1,1,0.989127182,0,1
H3K27meK36me2,,,,1,0.0225,0.0225,0.592413793,0.428957055,1,1,0.449882353,1,0.131368421,0.890207715,0.938842975,1,1,0.015737705,1,0.968772846,1,0.976537468,0.814919614,1,1,0.458547486,1,0.97119171,0.248455285,1,0.892361516,0.089090909,1,0.592413793,1,1,1,1,0.303157895,0.859076923
H4K5ac,,,,,1,0.914733894,0.457142857,1,0.890207715,1,1,0.414591195,1,1,1,0.528078818,0.148686869,0.953945946,0.53410628,0.998019802,1,0.67375,1,1,0.694736842,1,0.008727273,0.699104478,0.701449275,0.837197452,1,1,1,1,0.095280899,1,1,1,0.414591195,1
H2A1BK15ac,,,,,,1,0.651707317,1,1,1,1,0.965065963,0.74084507,0.74084507,0.989127182,0.53410628,0.890207715,0.620772532,0.989127182,1,0.685019011,0.642,0.757370242,1,1,0.418765432,1,0.788382838,1,1,1,1,0.592413793,1,0.943043478,1,1,1,0.909425287,0.387096774
H3K9me2,,,,,,,1,0.439272727,1,1,0.801052632,0.701090909,0.821980831,1,1,1,1,1,1,0.771254237,1,1,0.968772846,1,1,1,1,0,0.018064516,1,1,0,1,1,0.37615894,1,1,1,0.458547486,0
H3K9me3K14ac,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.526633166,0.082758621,1,0.701090909,1,1,1,1,1,1,1,1,0.592413793
H3K9me3,,,,,,,,,1,1,0.941202186,0.773154362,1,1,0.97119171,1,1,1,0.773154362,1,1,1,1,1,1,1,1,0.890207715,0.989127182,1,0.535384615,0.631260504,1,1,0.914733894,1,1,0.814919614,1,0.701090909
H4K5acK8ac,,,,,,,,,,1,1,1,0.592413793,0.584035874,1,0.76952381,1,1,0.528078818,1,0.450404624,0.776454849,0.591644444,0.711111111,0.914733894,0.674108527,1,1,0.890207715,1,1,0.458547486,1,0.932,1,1,1,1,1,1
H1.2K33ac,,,,,,,,,,,1,0.890207715,1,0.006153846,0.256507937,0,0.309253731,0,1,1,0.37615894,0.059487179,0.054025974,0.968772846,0.131368421,0.57046729,1,1,1,1,1,1,0.449882353,1,0.339710145,1,0.989127182,1,0.998019802,0.773154362
H3K36me2,,,,,,,,,,,,1,0.651707317,0.859076923,1,0.383157895,0.558490566,0.514818653,0.418385093,0.303030303,1,0.038309859,0.54552381,0.282790698,0.032463768,0,1,1,0.303030303,1,0.072195122,0.0032,1,1,1,0.859076923,0.941202186,0.919776536,1,1
H3K23su,,,,,,,,,,,,,1,0.282790698,1,0.336350365,0.514818653,0,0.914733894,0,0.663399209,0,0.743859649,0,0.767671233,1,1,1,1,1,1,0.584035874,1,0.0032,0.372972973,0.621694915,0.621694915,1,1,0.074285714
H3K9meK14ac,,,,,,,,,,,,,,1,0,0.446666667,0.989127182,0.676307692,1,0.50893617,1,1,0.1584,0.989127182,0.651707317,0.693132075,0.740213523,1,0.011034483,0.394871795,1,0.418385093,0.846222222,1,0.066835443,0.873128834,0.187428571,1,0.030588235,0.584035874
H3K9ac,,,,,,,,,,,,,,,1,0.353142857,1,1,1,1,0.371156463,1,0.80828479,0.450404624,1,1,0.928356546,1,0.891563422,1,0.07627907,0.962986667,0.336350365,1,1,1,1,1,0.914733894,0.938842975
H3K4me,,,,,,,,,,,,,,,,1,1,0.661587302,1,0.520205128,0.890207715,0,0,1,0.962986667,0,0.981030928,1,0.006153846,1,1,0.073253012,1,0.578348624,0.11956044,0.458547486,0.207142857,1,0.414591195,0.212881356
H3K9me2K14ac,,,,,,,,,,,,,,,,,1,0.592413793,0.850473186,0.210973451,0.890207715,1,0.943089431,1,0.701090909,0.821980831,1,1,0.74815331,1,0.701090909,0.528078818,0.584035874,0.442634731,0.80828479,1,1,1,1,0.50893617
H2A1AK5ac,,,,,,,,,,,,,,,,,,1,1,0,1,0.194594595,0,0,0.0032,0,0.755555556,1,0.008727273,0.892361516,0.788382838,0.013333333,1,0.634644351,1,1,1,1,0.891563422,0.37615894
H3K9acK14ac,,,,,,,,,,,,,,,,,,,1,0.859076923,0.046315789,0,0,1,0.469392265,0,1,1,0.013333333,1,0.024615385,0.230082645,1,1,0.80828479,1,0.528078818,1,1,0.115555556
H4K8acK12acK16ac,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0.355177305,0,0.859076923,0.659277108,1,0.315259259,0.258267717,1,0,1,0.387096774,0.469392265,1,1,1,1
H4K12acK16ac,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.189357798,0,1,1,1,1,0.54507177,1,1,1,1,0.711111111,0.902196532,1,0.943043478,1
H4K5acK16ac,,,,,,,,,,,,,,,,,,,,,,1,0,0.0032,0.890207715,0,1,1,0.676307692,1,0.358356164,0.356923077,0.671372549,1,1,0.011034483,1,1,1,1
H4K8acK16ac,,,,,,,,,,,,,,,,,,,,,,,1,0,0.046315789,0,1,1,0.671372549,1,0.571111111,0.188411215,1,1,0.130752688,0.2496,1,0.571111111,0.16627451,1
H4K5acK8acK16ac,,,,,,,,,,,,,,,,,,,,,,,,1,0.358356164,0,1,0.526633166,0.989127182,0.21512605,1,0.0032,0.584035874,1,1,0.194594595,1,1,1,1
H4K5acK8acK12acK16ac,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.476483516,1,0.47827027,0.011034483,1,1,1,1,0.962986667,1,1,0.0032
H4K5acK12acK16ac,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.965065963,0.909425287,1,0,0.046315789,1,1,0.892361516,0.649958506,1,1,0.965065963,1
H3K9me,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.356923077,1,0.955687332,0.504946237,1,1,1,1,0.661587302,1,0.893488372,0.674108527
H3K27me2K36me,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.853333333,1,0.75766323,0.212869565,0.561126761,0.148571429,1,1,1,1,1,0.2496
H3K79me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.914733894,0.222666667,0.968772846,0.072,1,0.693132075,1,0.701037037,1,0.212881356,1
H3K14ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.476502732,0.450404624,0.526633166,0.769419795,1,1,0.80828479,1,0.97119171,0.80828479
H4K5acK12ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.441445783,0.212881356,0.902196532,0.847088608,0.782458472,1,1,1,1
H3K18ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.892361516,0.148571429,0.476521739,0.989127182,1,0.684580153,0.072195122
H4K5acK8acK12ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.173980583,0.289230769,1,0.07627907,1
H2AJK5acK9ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.592413793,1,1,1,0.989127182,1
H2AJK5acT6ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.654898785,0.68045977,1,0,1
H3K23ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.621694915,1,0.962986667
H4K8acK12ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.386928105,1
H1.5K33ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.890207715,0.008727273
H1K25me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.238688525
H4K16ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
