source,target,correlation,pvalue,RA
H2A1AK5ac,H2AJK5acK9ac,-0.360800582,0.033228291,0.065795759
H2A1AK5ac,H2AXK5acT6ac,-0.483774268,0.00323633,0.065795759
H2A1AK5ac,H3K18ac,0.49373218,0.002576862,0.065795759
H2A1AK5ac,H3K23su,0.39790817,0.017920842,0.065795759
H2A1AK5ac,H3K9acK14ac,0.651590576,2.24E-05,0.065795759
H2A1AK5ac,H3K9me2,-0.456198717,0.005879799,0.065795759
H2A1AK5ac,H3K9me2K14ac,0.495048889,0.002499105,0.065795759
H2A1AK5ac,H3K9me3K14ac,-0.500527566,0.002197108,0.065795759
H2A1AK5ac,H4K5acK12acK16ac,0.535766527,0.000910113,0.065795759
H2A1AK5ac,H4K5acK16ac,0.611423754,9.54E-05,0.065795759
H2A1AK5ac,H4K5acK8acK12ac,0.421670193,0.01163831,0.065795759
H2A1AK5ac,H4K5acK8acK12acK16ac,0.594492747,0.00016599,0.065795759
H2A1AK5ac,H4K5acK8acK16ac,0.466084078,0.004773264,0.065795759
H2A1AK5ac,H4K8acK12acK16ac,0.387030683,0.021625564,0.065795759
H2A1AK5ac,H4K8acK16ac,0.607280882,0.000109561,0.065795759
H2A1BK15ac,H2AJK5acK9ac,-0.427000219,0.01052052,0.368358768
H2A1BK15ac,H3K9me2K14ac,-0.348853051,0.039983797,0.368358768
H2AJK5acK9ac,H2A1AK5ac,-0.360800582,0.033228291,0.681862461
H2AJK5acK9ac,H2A1BK15ac,-0.427000219,0.01052052,0.681862461
H2AJK5acK9ac,H2AXK5acT6ac,0.617049902,7.88E-05,0.681862461
H2AJK5acK9ac,H3K18acK23ac,-0.498691641,0.002294548,0.681862461
H2AJK5acK9ac,H3K9acK14ac,-0.423357816,0.011274007,0.681862461
H2AJK5acK9ac,H4K5acK8acK12ac,-0.565028856,0.000405605,0.681862461
H2AXK5acT6ac,H2A1AK5ac,-0.483774268,0.00323633,0.6437
H2AXK5acT6ac,H2AJK5acK9ac,0.617049902,7.88E-05,0.6437
H2AXK5acT6ac,H3K18ac,-0.403031029,0.016369115,0.6437
H2AXK5acT6ac,H3K23su,-0.406221799,0.015460739,0.6437
H2AXK5acT6ac,H3K9acK14ac,-0.538334583,0.000850271,0.6437
H2AXK5acT6ac,H4K5acK8acK12ac,-0.37037713,0.028512772,0.6437
H2AXK5acT6ac,H4K5acK8acK12acK16ac,-0.436039193,0.008832835,0.6437
H3K14ac,H3K9me2,-0.382032415,0.02352961,0.050566529
H3K14ac,H3K9me3K14ac,-0.428865222,0.010151542,0.050566529
H3K18ac,H2A1AK5ac,0.49373218,0.002576862,0.076274011
H3K18ac,H2AXK5acT6ac,-0.403031029,0.016369115,0.076274011
H3K18ac,H3K23ac,0.366542055,0.030330499,0.076274011
H3K18ac,H3K9me2K14ac,0.388691798,0.021021822,0.076274011
H3K18ac,H4K12acK16ac,0.385376262,0.022241106,0.076274011
H3K18ac,H4K5ac,0.350428586,0.039034072,0.076274011
H3K18ac,H4K5acK12acK16ac,0.356024729,0.035807359,0.076274011
H3K18ac,H4K5acK16ac,0.536266066,0.000898189,0.076274011
H3K18ac,H4K5acK8acK12acK16ac,0.472608512,0.004145685,0.076274011
H3K18ac,H4K5acK8acK16ac,0.405357722,0.015702451,0.076274011
H3K18ac,H4K8acK12acK16ac,0.385628181,0.022146451,0.076274011
H3K18ac,H4K8acK16ac,0.580375463,0.000257406,0.076274011
H3K18acK23ac,H2AJK5acK9ac,-0.498691641,0.002294548,0.046915521
H3K18acK23ac,H3K23ac,-0.406519785,0.015378108,0.046915521
H3K18acK23ac,H4K12ac,0.481064858,0.003439347,0.046915521
H3K18acK23ac,H4K5ac,0.54879738,0.000640847,0.046915521
H3K18acK23ac,H4K5acK8acK12ac,0.36588808,0.030649737,0.046915521
H3K18acK23ac,H4K8ac,0.369836188,0.028763608,0.046915521
H3K23ac,H3K18ac,0.366542055,0.030330499,0.144868502
H3K23ac,H3K18acK23ac,-0.406519785,0.015378108,0.144868502
H3K23ac,H4K12acK16ac,0.409198606,0.014651786,0.144868502
H3K23ac,H4K5acK16ac,0.419392411,0.012145756,0.144868502
H3K23ac,H4K8acK12ac,0.449239653,0.006785018,0.144868502
H3K23ac,H4K8acK16ac,0.362207649,0.032498042,0.144868502
H3K23su,H2A1AK5ac,0.39790817,0.017920842,0.006105096
H3K23su,H2AXK5acT6ac,-0.406221799,0.015460739,0.006105096
H3K23su,H3K9me2K14ac,0.462234765,0.005180678,0.006105096
H3K23su,H3K9meK14ac,0.389051384,0.02089299,0.006105096
H3K23su,H4K12acK16ac,0.398382129,0.017772306,0.006105096
H3K23su,H4K5acK8acK12acK16ac,0.422561764,0.011444628,0.006105096
