"","H1-K25[me];K31[un]","H1-K25[un];K31[un]","H1.2-K33[ac];K45[un];K51[un]","H1.2-K33[un];K45[un];K51[un]","H1.5-K33[ac];K45[un];K51[un]","H1.5-K33[un];K45[un];K51[un]","H2A1A-K5[ac];K9[un]","H2A1A-K5[un];K9[un]","H2A1B-K13[un];K15[ac]","H2A1B-K13[un];K15[un]","H2AJ-K5[ac];K9[ac]","H2AJ-K5[ac];T6[ac];K9[un]","H2AJ-K5[un];K9[un]","H2AX-K5[un];K9[un]","H31-K18[ac];K23[ac]","H31-K18[ac];K23[un]","H31-K18[un];K23[ac]","H31-K18[un];K23[su]","H31-K18[un];K23[un]","H31-K27[me];K36[me2];K37[un]","H31-K27[me2];K36[me];K37[un]","H31-K27[un];K36[me2];K37[un]","H31-K4[me]","H31-K4[un]","H31-K79[me]","H31-K79[un]","H31-K9[ac];K14[ac]","H31-K9[ac];K14[un]","H31-K9[me];K14[ac]","H31-K9[me];K14[un]","H31-K9[me2];K14[ac]","H31-K9[me2];K14[un]","H31-K9[me3];K14[ac]","H31-K9[me3];K14[un]","H31-K9[un];K14[ac]","H31-K9[un];K14[ub]","H31-K9[un];K14[un]","H4-K5[ac];K8[ac];K12[ac];K16[ac]","H4-K5[ac];K8[ac];K12[ac];K16[un]","H4-K5[ac];K8[ac];K12[un];K16[ac]","H4-K5[ac];K8[ac];K12[un];K16[un]","H4-K5[ac];K8[un];K12[ac];K16[ac]","H4-K5[ac];K8[un];K12[ac];K16[un]","H4-K5[ac];K8[un];K12[un];K16[ac]","H4-K5[ac];K8[un];K12[un];K16[un]","H4-K5[un];K8[ac];K12[ac];K16[ac]","H4-K5[un];K8[ac];K12[ac];K16[un]","H4-K5[un];K8[ac];K12[un];K16[ac]","H4-K5[un];K8[ac];K12[un];K16[un]","H4-K5[un];K8[un];K12[ac];K16[ac]","H4-K5[un];K8[un];K12[ac];K16[un]","H4-K5[un];K8[un];K12[un];K16[ac]","H4-K5[un];K8[un];K12[un];K16[un]"
"H1-K25[me];K31[un]",0,1.35255444361415e-38,0.0127606980684074,0.00848660510699291,0.179544400824259,0.276202154854899,0.000598952198867098,0.000706336680058142,0.0567805545945307,0.0225398609069996,0.785245743622222,0.0204493262341803,0.785051579924001,0.0209369978589915,0.20189096698023,0.18292553969518,0.742660929062743,0.0644549048385883,0.107930282246518,0.916885433830924,0.007687854759129,0.171374828337864,0.0111373092447608,0.0113762545370167,0.436220178449604,0.606764564665429,0.189221813918396,0.150228017069686,0.783036995164998,0.748070261658874,0.62333507183749,0.155373061593396,0.15013392560441,0.473809469402548,0.414390099834136,0.418797531124643,0.42403803011147,0.00638546969997792,0.275779078556786,0.00377638034146321,0.337240199695408,0.00784292721695802,0.642181115912002,0.0134579206348662,0.544451417041747,0.00934411401601324,0.850684324164984,0.0739873827433295,0.910332507278402,0.177536033690599,0.0253645635960798,0.612614167277642,0.0810436338079527
"H1-K25[un];K31[un]",1.35255444361415e-38,0,0.00445115992439228,0.00299952309586004,0.152225792478199,0.190289021461393,6.60348975443532e-07,8.31406377932773e-07,0.0365120641873735,0.0150144418263673,0.209918737646039,0.00100538336534841,0.209069775086507,0.00102074564429482,0.0498152671910201,0.102062932848991,0.788980486857135,0.0296095619218659,0.0160930820934678,0.906617029444418,0.0138266142435118,0.166328421743236,0.000693873447251333,0.000747906946231442,0.653182595162428,0.788138155372256,0.0820447860055651,0.0839549436345618,0.779597655015364,0.491647726304622,0.490241970486008,0.127651212191819,0.0356375414378495,0.12465407617792,0.231043752895517,0.292241132584075,0.298867759320186,5.32204233751567e-05,0.0751561539411177,3.97692564702801e-05,0.355941199304402,0.000223086708117754,0.229851768695457,0.000492834805720343,0.810450796428426,0.000175535761339563,0.6259653583693,0.00461023236020468,0.784734919630314,0.0262504182380717,0.00937431920953086,0.883496118697747,0.00405017915999517
"H1.2-K33[ac];K45[un];K51[un]",0.0127606980684074,0.00445115992439228,0,1.25458476360407e-51,0.286710014611935,0.217304612351887,5.88912310306584e-06,1.02601636689581e-05,0.00621482003183216,0.00678601324195631,0.671366722111514,0.0358991196925467,0.690410370181218,0.0355736863372043,0.808691540688634,0.264801468966704,0.550874027819289,1.71905793849575e-07,0.606476870276886,1.00253969041027e-05,2.34705178230726e-06,5.69483686095398e-09,4.400160578913e-08,5.93273503738924e-08,0.143190973549243,0.276020741309836,0.00514796814169599,0.0048890002252088,0.102472770792057,0.355544864176116,0.0073967557473754,2.79084962260576e-05,0.000171757009854314,0.535616084854453,0.0959248061712409,0.184574732762104,0.0617554214607532,5.99316938811472e-05,0.796962988302363,1.35747600788474e-05,0.00846964583382719,8.45768815713777e-07,0.00296764608514834,4.80433719460674e-05,0.0885616902570316,1.22197181420187e-07,0.266053802776938,0.000341270105847849,0.831745444616656,5.70306350520556e-05,0.000652540913616164,0.890997151061533,0.00042679563005836
"H1.2-K33[un];K45[un];K51[un]",0.00848660510699291,0.00299952309586004,1.25458476360407e-51,0,0.16229569472218,0.117936405359756,6.78948748222665e-06,1.27611607805063e-05,0.00556720579302229,0.00656650545080899,0.467867354533401,0.0385799565057972,0.476492512925609,0.0388469688500114,0.827933475220044,0.228739459871179,0.374359624991088,5.95836406475199e-08,0.800548260358126,1.55300760154546e-07,4.32427045821921e-07,2.56325973953137e-11,1.87401172301772e-09,2.63230215273835e-09,0.128303869135884,0.259066352343586,0.00316081822290357,0.00143749557791911,0.0868612754944861,0.406974838668331,0.00410329081854963,5.11320148460831e-06,3.28557092290737e-05,0.506678807105513,0.0846013607915377,0.18675031615976,0.0353797888065595,3.86288425173971e-05,0.957590357864391,1.94208340731437e-05,0.00586457332514777,1.06218103806678e-06,0.00551888512450973,3.31976967444309e-05,0.0292003082114114,8.83033489188121e-08,0.297917392200554,0.000375061543949577,0.960553857421488,2.46131475018624e-05,0.000236850616718929,0.924115431468717,0.000474983310455186
"H1.5-K33[ac];K45[un];K51[un]",0.179544400824259,0.152225792478199,0.286710014611935,0.16229569472218,0,7.18332145756457e-46,0.540818526799526,0.563313354407507,0.80438874336763,0.81483588054847,0.938554146448672,0.946099944428493,0.950882338517893,0.939714580676747,0.34030126882079,0.200975384690186,0.60475094027273,0.732677836036897,0.241302083837412,0.856683267619757,0.130516060664227,0.543899738261223,0.265302645097373,0.275842556741508,0.970681387752651,0.814725660181307,0.4095703010788,0.313645160865202,0.971429123331033,0.74781850679463,0.598312673964815,0.0346552131272648,0.286832066955955,0.264089919295765,0.00715556522329313,0.554734319631174,0.0466692713374773,0.0986353911828649,0.447383369845015,0.447215885805849,0.676148923137903,0.401307809909539,0.33916361508261,0.593307989882652,0.839220428758721,0.233028057953214,0.866654598214127,0.90427653391848,0.993297419627181,0.964327179099639,0.834708421419563,0.736704796743351,0.661874370620672
"H1.5-K33[un];K45[un];K51[un]",0.276202154854899,0.190289021461393,0.217304612351887,0.117936405359756,7.18332145756457e-46,0,0.552014868198372,0.575964628145402,0.750841303641959,0.761587054088643,0.724001460203571,0.659446370812131,0.734004048176758,0.659330755110014,0.241152919524199,0.292431169035453,0.36672224722604,0.755703874943437,0.30454170800739,0.755731929663036,0.126937241394939,0.613179882044554,0.207571111471034,0.218436401225998,0.835354895809668,0.993676881154108,0.352421054315008,0.27904611518721,0.861727613585553,0.771939375864195,0.512699473866133,0.0963862407145657,0.27440391268452,0.185184651968148,0.0383128123042044,0.449219362653511,0.111067516735146,0.0767049456607098,0.424843351522787,0.431071456915376,0.749681441519968,0.391064677784929,0.212459550750525,0.565553264043758,0.747708065886426,0.193355538158988,0.835865688904511,0.850792180211369,0.910796904298309,0.950697043977821,0.750415086495576,0.799456702653814,0.633801485442782
"H2A1A-K5[ac];K9[un]",0.000598952198867098,6.60348975443532e-07,5.88912310306584e-06,6.78948748222665e-06,0.540818526799526,0.552014868198372,0,7.62125633837906e-86,0.88128517679683,0.900785071767673,0.29959374189488,6.72101524951397e-06,0.297441599387818,6.85407919424131e-06,0.115361285132382,0.170020400122329,0.149166311035253,6.66954918632126e-05,0.000598737482988291,0.0769982887973935,9.17801115820484e-06,0.000132978982615481,3.04710311117664e-10,7.18581631041301e-10,0.853186793492771,0.884594368828979,0.00207170573856549,0.00865791319636504,0.188491904013291,0.40517037059487,0.000124618761811258,1.6082045342848e-05,1.58443688516553e-07,0.0195899851759195,0.0018840903865846,0.351580045040376,0.00826569177947234,1.02385219113475e-19,0.0200525262214404,6.02107600762958e-21,0.0217073553838137,1.50384049634248e-19,0.00647849290689426,2.55834100103512e-14,0.982839208113978,3.9373889884213e-20,0.599890707675942,2.29847057341633e-14,0.520377890917134,3.33418567192679e-10,0.000138541126749997,0.398261969884386,1.08639198607893e-13
"H2A1A-K5[un];K9[un]",0.000706336680058142,8.31406377932773e-07,1.02601636689581e-05,1.27611607805063e-05,0.563313354407507,0.575964628145402,7.62125633837906e-86,0,0.848099622300976,0.866789249953906,0.291968886393956,6.62118523935845e-06,0.289924222934332,6.8093865076721e-06,0.121765349428141,0.188075483634691,0.126876101433276,0.000130392400093012,0.000567636197458087,0.0928940643765532,1.04441450799304e-05,0.00017744743815155,1.68296744924106e-09,3.7400639910634e-09,0.83769659925177,0.86659228334811,0.00163782685793996,0.00697897400770284,0.176796598019722,0.304402515855645,0.000129509620574023,2.00055141221181e-05,1.53979942280548e-07,0.0142805961222632,0.00245453520155009,0.368703693218986,0.0121301206660067,5.11203661820139e-20,0.0177574607571738,9.8953502679828e-21,0.0187813903182286,5.69832857134835e-19,0.00793772134625746,3.03843654169956e-14,0.874823008810464,9.49764934018404e-20,0.572612547740659,6.51574394929272e-14,0.471755917064178,6.04631526703871e-10,0.000269351227399446,0.436856218692618,1.73165762054959e-13
"H2A1B-K13[un];K15[ac]",0.0567805545945307,0.0365120641873735,0.00621482003183216,0.00556720579302229,0.80438874336763,0.750841303641959,0.88128517679683,0.848099622300976,0,3.32427372024687e-72,0.00322401479839573,0.0184112185239645,0.00313730456254965,0.0196614485281709,0.341446640261821,0.0470492756298876,0.368660438460854,0.240899661539765,0.40656426191266,0.0824714671041402,0.0210647596831071,0.0169377963941497,0.705451298044473,0.712867941256828,0.276350267830939,0.649487842930076,0.642848683796954,0.363113363323044,0.0512652625454043,0.0414276642087863,0.0457624967533956,0.0179378813339889,0.270765793681712,0.184120427941596,0.261530571129675,0.510357419778135,0.794937539398721,0.809178560674596,0.308309715882904,0.938874721961705,0.305957551052195,0.583529180400314,0.527135262690741,0.906382391041658,0.146420678460274,0.512332268139513,0.038239329922618,0.710100176076389,0.62786986009686,0.386726993223977,0.94418189007145,0.0905455293626329,0.669723051186495
"H2A1B-K13[un];K15[un]",0.0225398609069996,0.0150144418263673,0.00678601324195631,0.00656650545080899,0.81483588054847,0.761587054088643,0.900785071767673,0.866789249953906,3.32427372024687e-72,0,0.00493006678331639,0.0192515341515824,0.00479866845104433,0.0204319948104444,0.388389866211524,0.0766160263204019,0.370104718565176,0.244709787524516,0.50854323124752,0.0975088059658952,0.025608852606425,0.02194324120941,0.690459139368028,0.696900751578555,0.318895848557146,0.697523395494138,0.645134277906426,0.406059492351292,0.054984500046854,0.0453430134254152,0.0518909454975335,0.0177837783168612,0.245228307076582,0.162457137651437,0.249973177440209,0.481871146727029,0.798291811874262,0.805815813773194,0.356286395097473,0.9326150949556,0.360215865575435,0.57328359801348,0.565287353068855,0.924974571396676,0.20170552432977,0.507969353838245,0.0465526233625941,0.687202819600108,0.585469536189338,0.357821822572602,0.944275804252063,0.125999268658468,0.728445457424354
